tu9_slug,university_ror_id,university_name,relation_type,weight,affiliated_ror_id,affiliated_name,affiliated_openalex_id
kit,04t3en479,Karlsruhe Institute of Technology,component,1,034rhsb33,Helmholtz-Institute Ulm,I4210129763
kit,04t3en479,Karlsruhe Institute of Technology,component,1,040fv5d16,DVGW-Forschungsstelle am Engler-Bunte-Institut des Karlsruher Instituts für Technologie,I4210144470
kit,04t3en479,Karlsruhe Institute of Technology,component,1,04d5k5771,European Institute for Energy Research,I4210148402
kit,04t3en479,Karlsruhe Institute of Technology,joint,0.5,01f7bcy98,Heidelberg Institute for Theoretical Studies,I71030271
kit,04t3en479,Karlsruhe Institute of Technology,associated,,02nx8n605,TU9,I4387153217
kit,04t3en479,Karlsruhe Institute of Technology,associated,,033zfn006,In-Service Aircraft for a Global Observing System,I4405252446
leibniz-hannover,0304hq317,Leibniz University Hannover,joint,0.5,00w53fs94,Forschungszentrum Küste,I4210096218
leibniz-hannover,0304hq317,Leibniz University Hannover,joint,0.5,039t4wk02,L3S Research Center,I4210136150
leibniz-hannover,0304hq317,Leibniz University Hannover,joint,0.5,04n901n71,CAIMed - Niedersächsisches Zentrum für KI und Kausale Methoden in der Medizin,I4401726777
leibniz-hannover,0304hq317,Leibniz University Hannover,joint,0.3333333333333333,0393vzh87,Hearing4all,I4210144375
leibniz-hannover,0304hq317,Leibniz University Hannover,associated,,021ft0n22,Universitätsmedizin Göttingen,I4210116730
leibniz-hannover,0304hq317,Leibniz University Hannover,associated,,02nx8n605,TU9,I4387153217
leibniz-hannover,0304hq317,Leibniz University Hannover,associated,,03d0p2685,Helmholtz Centre for Infection Research,I4210124929
leibniz-hannover,0304hq317,Leibniz University Hannover,associated,,05r5a5c61,Institut für Solarenergieforschung,I4210165208
rwth-aachen,04xfq0f34,RWTH Aachen University,component,1,02gm5zw39,Universitätsklinikum Aachen,I4210120689
rwth-aachen,04xfq0f34,RWTH Aachen University,component,1,02r0e4r58,Jülich Aachen Research Alliance,I4210133912
rwth-aachen,04xfq0f34,RWTH Aachen University,component,1,03hass884,Ernst Ruska Centre,I2801833913
rwth-aachen,04xfq0f34,RWTH Aachen University,component,1,0431amh23,Ophthalmology Clinic,I4210145692
rwth-aachen,04xfq0f34,RWTH Aachen University,associated,,000p86k36,Oel-Waerme-Institut,I4210087309
rwth-aachen,04xfq0f34,RWTH Aachen University,associated,,001g2x261,Institut für Unternehmenskybernetik,I4210086356
rwth-aachen,04xfq0f34,RWTH Aachen University,associated,,0186h8060,DWI – Leibniz Institute for Interactive Materials,I4210102767
rwth-aachen,04xfq0f34,RWTH Aachen University,associated,,01be19w37,Helios Klinikum Krefeld,I4210103130
rwth-aachen,04xfq0f34,RWTH Aachen University,associated,,0281dp749,Helmholtz Association of German Research Centres,I1305996414
rwth-aachen,04xfq0f34,RWTH Aachen University,associated,,02gwe8432,Access,I4210121009
rwth-aachen,04xfq0f34,RWTH Aachen University,associated,,02nx8n605,TU9,I4387153217
rwth-aachen,04xfq0f34,RWTH Aachen University,associated,,04gw0z407,Aachener Centrum für Technologietransfer in der Ophthalmologie,I4210131829
rwth-aachen,04xfq0f34,RWTH Aachen University,associated,,054zhq066,Bonn Aachen International Center for Information Technology,I4210164149
tu-berlin,03v4gjf40,Technische Universität Berlin,component,1,048d5b075,Daimler Center for Automotive Information Technology Innovations,I4210155076
tu-berlin,03v4gjf40,Technische Universität Berlin,joint,0.3333333333333333,05dsfb086,Berlin Institute for the Foundations of Learning and Data,I4401727010
tu-berlin,03v4gjf40,Technische Universität Berlin,joint,0.25,023kksk09,Weizenbaum Institute,I4210117750
tu-berlin,03v4gjf40,Technische Universität Berlin,associated,,00h1x4t21,Weierstrass Institute for Applied Analysis and Stochastics,I4210092021
tu-berlin,03v4gjf40,Technische Universität Berlin,associated,,02nx8n605,TU9,I4387153217
tu-braunschweig,010nsgg66,Technische Universität Braunschweig,joint,0.5,00w53fs94,Forschungszentrum Küste,I4210096218
tu-braunschweig,010nsgg66,Technische Universität Braunschweig,joint,0.5,039t4wk02,L3S Research Center,I4210136150
tu-braunschweig,010nsgg66,Technische Universität Braunschweig,joint,0.5,04n901n71,CAIMed - Niedersächsisches Zentrum für KI und Kausale Methoden in der Medizin,I4401726777
tu-braunschweig,010nsgg66,Technische Universität Braunschweig,associated,,021ft0n22,Universitätsmedizin Göttingen,I4210116730
tu-braunschweig,010nsgg66,Technische Universität Braunschweig,associated,,02nx8n605,TU9,I4387153217
tu-braunschweig,010nsgg66,Technische Universität Braunschweig,associated,,03d0p2685,Helmholtz Centre for Infection Research,I4210124929
