snapshot_date,view,n_members,year,ca_works,ca_oa_works,ca_oa_share
2026-09-07,consolidated,37,2026,22410,19163,0.8551
2026-09-07,consolidated,37,2025,25887,19558,0.7555
2026-09-07,consolidated,37,2024,25271,18087,0.7157
2026-09-07,consolidated,37,2023,27210,18447,0.6779
2026-09-07,consolidated,37,2022,26922,17306,0.6428
2026-09-07,consolidated,37,2021,27261,17903,0.6567
2026-09-07,consolidated,37,2020,25267,15769,0.6241
2026-09-07,consolidated,37,2019,23576,11594,0.4918
2026-09-07,consolidated,37,2018,22863,9565,0.4184
2026-09-07,consolidated,37,2017,22261,8145,0.3659
2026-09-07,consolidated,37,2016,21332,7632,0.3578
2026-09-07,consolidated,37,2015,19300,6169,0.3196
2026-09-07,consolidated,37,2014,18455,5242,0.284
2026-09-07,consolidated,37,2013,17370,4486,0.2583
2026-09-07,core_any,37,2026,10678,9049,0.8474
2026-09-07,core_any,37,2025,15665,12981,0.8287
2026-09-07,core_any,37,2024,16012,13066,0.816
2026-09-07,core_any,37,2023,17081,12307,0.7205
2026-09-07,core_any,37,2022,17399,12402,0.7128
2026-09-07,core_any,37,2021,18440,13018,0.706
2026-09-07,core_any,37,2020,17407,11606,0.6667
2026-09-07,core_any,37,2019,15880,8536,0.5375
2026-09-07,core_any,37,2018,15610,7176,0.4597
2026-09-07,core_any,37,2017,15084,6356,0.4214
2026-09-07,core_any,37,2016,14643,6049,0.4131
2026-09-07,core_any,37,2015,13307,5004,0.376
2026-09-07,core_any,37,2014,12478,4256,0.3411
2026-09-07,core_any,37,2013,11242,3518,0.3129
2026-09-07,core_primary,37,2026,10625,8996,0.8467
2026-09-07,core_primary,37,2025,15603,12923,0.8282
2026-09-07,core_primary,37,2024,15968,13022,0.8155
2026-09-07,core_primary,37,2023,17063,12289,0.7202
2026-09-07,core_primary,37,2022,17364,12367,0.7122
2026-09-07,core_primary,37,2021,18369,12956,0.7053
2026-09-07,core_primary,37,2020,17334,11541,0.6658
2026-09-07,core_primary,37,2019,15820,8484,0.5363
2026-09-07,core_primary,37,2018,15562,7137,0.4586
2026-09-07,core_primary,37,2017,15030,6311,0.4199
2026-09-07,core_primary,37,2016,14608,6018,0.412
2026-09-07,core_primary,37,2015,13264,4970,0.3747
2026-09-07,core_primary,37,2014,12414,4227,0.3405
2026-09-07,core_primary,37,2013,11201,3499,0.3124
2026-09-07,hierarchy,59,2026,22231,19083,0.8584
2026-09-07,hierarchy,59,2025,25569,19411,0.7592
2026-09-07,hierarchy,59,2024,24952,18037,0.7229
2026-09-07,hierarchy,59,2023,26941,18409,0.6833
2026-09-07,hierarchy,59,2022,26593,17203,0.6469
2026-09-07,hierarchy,59,2021,26945,17804,0.6608
2026-09-07,hierarchy,59,2020,24911,15675,0.6292
2026-09-07,hierarchy,59,2019,23175,11577,0.4995
2026-09-07,hierarchy,59,2018,22375,9495,0.4244
2026-09-07,hierarchy,59,2017,21834,8114,0.3716
2026-09-07,hierarchy,59,2016,20842,7593,0.3643
2026-09-07,hierarchy,59,2015,18848,6132,0.3253
2026-09-07,hierarchy,59,2014,18026,5205,0.2887
2026-09-07,hierarchy,59,2013,16984,4435,0.2611
2026-09-07,single,9,2026,21251,18321,0.8621
2026-09-07,single,9,2025,24481,18580,0.759
2026-09-07,single,9,2024,24087,17412,0.7229
2026-09-07,single,9,2023,26070,17808,0.6831
2026-09-07,single,9,2022,25784,16639,0.6453
2026-09-07,single,9,2021,26154,17224,0.6586
2026-09-07,single,9,2020,24111,15132,0.6276
2026-09-07,single,9,2019,22259,11117,0.4994
2026-09-07,single,9,2018,21537,9104,0.4227
2026-09-07,single,9,2017,21067,7777,0.3692
2026-09-07,single,9,2016,20126,7292,0.3623
2026-09-07,single,9,2015,18081,5820,0.3219
2026-09-07,single,9,2014,17385,4976,0.2862
2026-09-07,single,9,2013,16431,4233,0.2576
