snapshot_date,slug,year,ca_works,ca_oa_works,ca_oa_share,ca_doaj_works,ca_doaj_share
2026-07-20,kit,2026,2869,2571,0.8961,306,0.1067
2026-07-20,kit,2025,3238,2538,0.7838,519,0.1603
2026-07-20,kit,2024,3580,2684,0.7497,588,0.1642
2026-07-20,kit,2023,3720,2753,0.7401,625,0.168
2026-07-20,kit,2022,3502,2435,0.6953,669,0.191
2026-07-20,kit,2021,3663,2673,0.7297,633,0.1728
2026-07-20,kit,2020,3143,2161,0.6876,563,0.1791
2026-07-20,kit,2019,3024,1729,0.5718,488,0.1614
2026-07-20,kit,2018,2960,1308,0.4419,424,0.1432
2026-07-20,kit,2017,2901,1152,0.3971,393,0.1355
2026-07-20,kit,2016,2940,1160,0.3946,392,0.1333
2026-07-20,kit,2015,2526,830,0.3286,291,0.1152
2026-07-20,kit,2014,2437,752,0.3086,243,0.0997
2026-07-20,kit,2013,2296,605,0.2635,214,0.0932
2026-07-20,leibniz-hannover,2026,1080,903,0.8361,139,0.1287
2026-07-20,leibniz-hannover,2025,1579,1082,0.6852,285,0.1805
2026-07-20,leibniz-hannover,2024,1712,1255,0.7331,308,0.1799
2026-07-20,leibniz-hannover,2023,1771,1227,0.6928,295,0.1666
2026-07-20,leibniz-hannover,2022,1810,1141,0.6304,338,0.1867
2026-07-20,leibniz-hannover,2021,1636,1029,0.629,314,0.1919
2026-07-20,leibniz-hannover,2020,1590,930,0.5849,286,0.1799
2026-07-20,leibniz-hannover,2019,1387,599,0.4319,205,0.1478
2026-07-20,leibniz-hannover,2018,1353,564,0.4169,191,0.1412
2026-07-20,leibniz-hannover,2017,1348,481,0.3568,145,0.1076
2026-07-20,leibniz-hannover,2016,1272,490,0.3852,153,0.1203
2026-07-20,leibniz-hannover,2015,1116,405,0.3629,125,0.112
2026-07-20,leibniz-hannover,2014,1031,335,0.3249,100,0.097
2026-07-20,leibniz-hannover,2013,978,275,0.2812,76,0.0777
2026-07-20,rwth-aachen,2035,1,1,1,0,0
2026-07-20,rwth-aachen,2026,3332,2968,0.8908,413,0.1239
2026-07-20,rwth-aachen,2025,4443,3543,0.7974,726,0.1634
2026-07-20,rwth-aachen,2024,3819,2790,0.7306,771,0.2019
2026-07-20,rwth-aachen,2023,4329,2909,0.672,786,0.1816
2026-07-20,rwth-aachen,2022,3971,2491,0.6273,835,0.2103
