snapshot_date,slug,year,oa_status,ca_works
2026-07-23,kit,2025,hybrid,963
2026-07-23,kit,2025,gold,864
2026-07-23,kit,2025,closed,702
2026-07-23,kit,2025,green,484
2026-07-23,kit,2025,diamond,184
2026-07-23,kit,2025,bronze,44
2026-07-23,leibniz-hannover,2025,hybrid,521
2026-07-23,leibniz-hannover,2025,closed,497
2026-07-23,leibniz-hannover,2025,gold,356
2026-07-23,leibniz-hannover,2025,green,101
2026-07-23,leibniz-hannover,2025,diamond,81
2026-07-23,leibniz-hannover,2025,bronze,22
2026-07-23,rwth-aachen,2025,green,1342
2026-07-23,rwth-aachen,2025,hybrid,1110
2026-07-23,rwth-aachen,2025,closed,899
2026-07-23,rwth-aachen,2025,gold,888
2026-07-23,rwth-aachen,2025,diamond,153
2026-07-23,rwth-aachen,2025,bronze,53
2026-07-23,tu-berlin,2025,hybrid,581
2026-07-23,tu-berlin,2025,gold,478
2026-07-23,tu-berlin,2025,closed,458
2026-07-23,tu-berlin,2025,green,181
2026-07-23,tu-berlin,2025,diamond,85
2026-07-23,tu-berlin,2025,bronze,20
2026-07-23,tu-braunschweig,2025,hybrid,371
2026-07-23,tu-braunschweig,2025,closed,351
2026-07-23,tu-braunschweig,2025,gold,314
2026-07-23,tu-braunschweig,2025,green,93
2026-07-23,tu-braunschweig,2025,diamond,64
2026-07-23,tu-braunschweig,2025,bronze,18
2026-07-23,tu-darmstadt,2025,closed,649
2026-07-23,tu-darmstadt,2025,hybrid,500
2026-07-23,tu-darmstadt,2025,gold,315
2026-07-23,tu-darmstadt,2025,green,162
2026-07-23,tu-darmstadt,2025,diamond,96
2026-07-23,tu-darmstadt,2025,bronze,29
2026-07-23,tu-dresden,2025,hybrid,819
2026-07-23,tu-dresden,2025,gold,681
2026-07-23,tu-dresden,2025,closed,590
2026-07-23,tu-dresden,2025,green,248
2026-07-23,tu-dresden,2025,diamond,109
2026-07-23,tu-dresden,2025,bronze,46
2026-07-23,tu-munich,2025,hybrid,1582
2026-07-23,tu-munich,2025,gold,1213
2026-07-23,tu-munich,2025,closed,939
2026-07-23,tu-munich,2025,green,893
2026-07-23,tu-munich,2025,diamond,182
2026-07-23,tu-munich,2025,bronze,59
2026-07-23,uni-stuttgart,2025,closed,671
2026-07-23,uni-stuttgart,2025,hybrid,492
2026-07-23,uni-stuttgart,2025,gold,347
2026-07-23,uni-stuttgart,2025,green,189
2026-07-23,uni-stuttgart,2025,diamond,91
2026-07-23,uni-stuttgart,2025,bronze,22
