snapshot_date,tu9_slug,university_name,n_members,year,ca_works,ca_oa_works,ca_oa_share
2026-09-07,kit,Karlsruhe Institute of Technology,4,2026,3536,3177,0.8985
2026-09-07,kit,Karlsruhe Institute of Technology,4,2025,3562,2846,0.799
2026-09-07,kit,Karlsruhe Institute of Technology,4,2024,3788,2841,0.75
2026-09-07,kit,Karlsruhe Institute of Technology,4,2023,3870,2895,0.7481
2026-09-07,kit,Karlsruhe Institute of Technology,4,2022,3744,2588,0.6912
2026-09-07,kit,Karlsruhe Institute of Technology,4,2021,3942,2879,0.7303
2026-09-07,kit,Karlsruhe Institute of Technology,4,2020,3314,2257,0.6811
2026-09-07,kit,Karlsruhe Institute of Technology,4,2019,3171,1796,0.5664
2026-09-07,kit,Karlsruhe Institute of Technology,4,2018,3095,1346,0.4349
2026-09-07,kit,Karlsruhe Institute of Technology,4,2017,3033,1197,0.3947
2026-09-07,kit,Karlsruhe Institute of Technology,4,2016,3079,1213,0.394
2026-09-07,kit,Karlsruhe Institute of Technology,4,2015,2699,905,0.3353
2026-09-07,kit,Karlsruhe Institute of Technology,4,2014,2577,787,0.3054
2026-09-07,kit,Karlsruhe Institute of Technology,4,2013,2452,650,0.2651
2026-09-07,leibniz-hannover,Leibniz University Hannover,1,2026,1335,1114,0.8345
2026-09-07,leibniz-hannover,Leibniz University Hannover,1,2025,1660,1161,0.6994
2026-09-07,leibniz-hannover,Leibniz University Hannover,1,2024,1723,1269,0.7365
2026-09-07,leibniz-hannover,Leibniz University Hannover,1,2023,1806,1260,0.6977
2026-09-07,leibniz-hannover,Leibniz University Hannover,1,2022,1873,1195,0.638
2026-09-07,leibniz-hannover,Leibniz University Hannover,1,2021,1727,1107,0.641
2026-09-07,leibniz-hannover,Leibniz University Hannover,1,2020,1631,985,0.6039
2026-09-07,leibniz-hannover,Leibniz University Hannover,1,2019,1424,623,0.4375
2026-09-07,leibniz-hannover,Leibniz University Hannover,1,2018,1390,588,0.423
2026-09-07,leibniz-hannover,Leibniz University Hannover,1,2017,1390,499,0.359
2026-09-07,leibniz-hannover,Leibniz University Hannover,1,2016,1331,523,0.3929
2026-09-07,leibniz-hannover,Leibniz University Hannover,1,2015,1149,426,0.3708
2026-09-07,leibniz-hannover,Leibniz University Hannover,1,2014,1071,348,0.3249
2026-09-07,leibniz-hannover,Leibniz University Hannover,1,2013,1014,294,0.2899
2026-09-07,rwth-aachen,RWTH Aachen University,5,2026,4479,3927,0.8768
2026-09-07,rwth-aachen,RWTH Aachen University,5,2025,5032,3976,0.7901
2026-09-07,rwth-aachen,RWTH Aachen University,5,2024,4249,3017,0.71
2026-09-07,rwth-aachen,RWTH Aachen University,5,2023,4785,3176,0.6637
2026-09-07,rwth-aachen,RWTH Aachen University,5,2022,4467,2868,0.642
2026-09-07,rwth-aachen,RWTH Aachen University,5,2021,4605,3036,0.6593
2026-09-07,rwth-aachen,RWTH Aachen University,5,2020,4569,2831,0.6196
2026-09-07,rwth-aachen,RWTH Aachen University,5,2019,4417,2103,0.4761
2026-09-07,rwth-aachen,RWTH Aachen University,5,2018,4313,1805,0.4185
2026-09-07,rwth-aachen,RWTH Aachen University,5,2017,3929,1456,0.3706
2026-09-07,rwth-aachen,RWTH Aachen University,5,2016,3868,1203,0.311
2026-09-07,rwth-aachen,RWTH Aachen University,5,2015,3510,1064,0.3031
2026-09-07,rwth-aachen,RWTH Aachen University,5,2014,3390,941,0.2776
2026-09-07,rwth-aachen,RWTH Aachen University,5,2013,2858,760,0.2659
