snapshot_date,slug,year,works_count,works_count_incl_xpac,works_count_lineage_incl_xpac,cited_by_count
2026-07-23,kit,2026,6616,6620,6824,1082
2026-07-23,kit,2025,7062,14016,14334,17384
2026-07-23,kit,2024,6973,13476,13707,50440
2026-07-23,kit,2023,7231,11412,11627,75384
2026-07-23,kit,2022,6705,11050,11226,108856
2026-07-23,kit,2021,7114,9485,9679,133988
2026-07-23,kit,2020,6468,10108,10267,188494
2026-07-23,kit,2019,6191,9637,9786,187983
2026-07-23,kit,2018,5847,6525,6698,174298
2026-07-23,kit,2017,5528,5644,5803,187967
2026-07-23,kit,2016,5707,5806,5996,191165
2026-07-23,kit,2015,5150,5211,5373,168926
2026-07-23,kit,2014,5015,5100,5219,202930
2026-07-23,kit,2013,4920,4974,5096,188005
2026-07-23,kit,2012,4557,4588,4684,168653
2026-07-23,kit,2011,4467,4504,4592,164336
2026-07-23,kit,2010,3903,3929,4018,131544
2026-07-23,leibniz-hannover,2026,2479,2446,2548,508
2026-07-23,leibniz-hannover,2025,3361,4474,4560,8492
2026-07-23,leibniz-hannover,2024,3308,6120,6193,21240
2026-07-23,leibniz-hannover,2023,3406,3831,3906,35325
2026-07-23,leibniz-hannover,2022,3334,3648,3715,41244
2026-07-23,leibniz-hannover,2021,3270,3538,3607,56899
2026-07-23,leibniz-hannover,2020,3008,3595,3676,70356
2026-07-23,leibniz-hannover,2019,2704,2780,2862,76107
2026-07-23,leibniz-hannover,2018,2510,2593,2654,79640
2026-07-23,leibniz-hannover,2017,2540,2589,2672,84607
2026-07-23,leibniz-hannover,2016,2426,2463,2535,83804
2026-07-23,leibniz-hannover,2015,2115,2132,2188,62155
2026-07-23,leibniz-hannover,2014,1996,2006,2072,54224
2026-07-23,leibniz-hannover,2013,1953,1978,2042,53511
2026-07-23,leibniz-hannover,2012,1873,1894,1970,50261
2026-07-23,leibniz-hannover,2011,1700,1719,1814,65659
2026-07-23,leibniz-hannover,2010,1658,1664,1851,55393
2026-07-23,rwth-aachen,2026,7918,7891,8038,1618
2026-07-23,rwth-aachen,2025,10204,15029,15035,21679
2026-07-23,rwth-aachen,2024,8044,13917,13928,62365
2026-07-23,rwth-aachen,2023,8841,14522,14546,94142
2026-07-23,rwth-aachen,2022,8130,12101,12087,133590
2026-07-23,rwth-aachen,2021,8447,12917,12964,176972
2026-07-23,rwth-aachen,2020,8063,10584,10643,220313
2026-07-23,rwth-aachen,2019,7295,9103,9170,209760
2026-07-23,rwth-aachen,2018,7023,8462,8543,241030
2026-07-23,rwth-aachen,2017,6522,7378,7424,208903
2026-07-23,rwth-aachen,2016,6359,6801,6818,235826
2026-07-23,rwth-aachen,2015,5748,5893,5907,194819
2026-07-23,rwth-aachen,2014,5605,5668,5672,253058
2026-07-23,rwth-aachen,2013,5002,5038,5040,187120
2026-07-23,rwth-aachen,2012,5148,5180,5179,194267
2026-07-23,rwth-aachen,2011,4646,4699,4699,193621
2026-07-23,rwth-aachen,2010,4485,4509,4508,165197
2026-07-23,tu-berlin,2026,3198,3211,3344,697
2026-07-23,tu-berlin,2025,4391,5752,5952,11262
2026-07-23,tu-berlin,2024,4259,5646,5775,28835
2026-07-23,tu-berlin,2023,4441,5340,5480,46905
2026-07-23,tu-berlin,2022,4509,5361,5485,65461
2026-07-23,tu-berlin,2021,4871,5607,5699,93475
2026-07-23,tu-berlin,2020,4679,5019,5105,126234
2026-07-23,tu-berlin,2019,3808,4027,4093,108747
2026-07-23,tu-berlin,2018,3730,3831,3844,105806
2026-07-23,tu-berlin,2017,3477,3599,3603,108443
2026-07-23,tu-berlin,2016,3667,3731,3737,117433
2026-07-23,tu-berlin,2015,3467,3510,3511,96294
2026-07-23,tu-berlin,2014,3112,3149,3152,90538
2026-07-23,tu-berlin,2013,3026,3055,3059,93006
2026-07-23,tu-berlin,2012,3015,3037,3044,104512
2026-07-23,tu-berlin,2011,2712,2731,2733,91005
2026-07-23,tu-berlin,2010,2843,2856,2861,101688
2026-07-23,tu-braunschweig,2026,1769,1767,1912,355
2026-07-23,tu-braunschweig,2025,2606,3315,3545,4888
2026-07-23,tu-braunschweig,2024,2411,3102,3277,12726
2026-07-23,tu-braunschweig,2023,2490,2996,3184,21676
2026-07-23,tu-braunschweig,2022,2575,2941,3082,32468
2026-07-23,tu-braunschweig,2021,2424,2742,2934,38970
2026-07-23,tu-braunschweig,2020,2367,2567,2765,86491
2026-07-23,tu-braunschweig,2019,2119,2215,2336,56724
2026-07-23,tu-braunschweig,2018,2158,2322,2420,50560
2026-07-23,tu-braunschweig,2017,1997,2030,2134,50859
2026-07-23,tu-braunschweig,2016,1951,1983,2084,55792
2026-07-23,tu-braunschweig,2015,1696,1736,1815,50660
2026-07-23,tu-braunschweig,2014,1822,1837,1938,53263
2026-07-23,tu-braunschweig,2013,1895,1899,1992,40767
2026-07-23,tu-braunschweig,2012,1576,1614,1713,53369
2026-07-23,tu-braunschweig,2011,1613,1619,1728,48375
2026-07-23,tu-braunschweig,2010,1631,1652,1853,45997
2026-07-23,tu-darmstadt,2026,2453,2445,2481,569
2026-07-23,tu-darmstadt,2025,3569,4384,4390,8373
2026-07-23,tu-darmstadt,2024,3523,4339,4347,22568
2026-07-23,tu-darmstadt,2023,3699,4277,4283,35108
2026-07-23,tu-darmstadt,2022,3576,4022,4028,48700
2026-07-23,tu-darmstadt,2021,3681,4118,4119,58673
2026-07-23,tu-darmstadt,2020,3622,3893,3896,66534
2026-07-23,tu-darmstadt,2019,3347,3500,3500,87361
2026-07-23,tu-darmstadt,2018,3293,3383,3383,81956
2026-07-23,tu-darmstadt,2017,3256,3340,3340,77144
2026-07-23,tu-darmstadt,2016,3267,3327,3328,94715
2026-07-23,tu-darmstadt,2015,3078,3110,3110,76567
2026-07-23,tu-darmstadt,2014,3104,3145,3145,79560
2026-07-23,tu-darmstadt,2013,2845,2875,2874,85618
2026-07-23,tu-darmstadt,2012,2882,2905,2905,80378
2026-07-23,tu-darmstadt,2011,2603,2624,2622,77050
2026-07-23,tu-darmstadt,2010,2540,2552,2553,82153
2026-07-23,tu-dresden,2026,4413,4386,5153,1357
2026-07-23,tu-dresden,2025,6606,8296,9565,19823
2026-07-23,tu-dresden,2024,6713,8717,9741,51492
2026-07-23,tu-dresden,2023,7306,8366,9132,81838
2026-07-23,tu-dresden,2022,7151,8335,8932,123625
2026-07-23,tu-dresden,2021,7177,8373,8844,163850
2026-07-23,tu-dresden,2020,6775,7372,7796,217797
2026-07-23,tu-dresden,2019,6024,6296,6677,197179
2026-07-23,tu-dresden,2018,5640,5930,6211,205033
2026-07-23,tu-dresden,2017,5457,5656,5899,203711
2026-07-23,tu-dresden,2016,5190,5523,5725,214012
2026-07-23,tu-dresden,2015,5082,5352,5566,204557
2026-07-23,tu-dresden,2014,5106,5250,5500,195086
2026-07-23,tu-dresden,2013,4619,4720,4957,169934
2026-07-23,tu-dresden,2012,4029,4105,4334,172247
2026-07-23,tu-dresden,2011,3527,3554,3778,145566
2026-07-23,tu-dresden,2010,3252,3263,3496,142186
2026-07-23,tu-munich,2026,9657,9601,10871,2089
2026-07-23,tu-munich,2025,11934,14399,16177,39064
2026-07-23,tu-munich,2024,11790,15062,16524,105828
2026-07-23,tu-munich,2023,12633,14251,15592,169240
2026-07-23,tu-munich,2022,11622,12672,14026,217943
2026-07-23,tu-munich,2021,11356,12591,13873,278337
2026-07-23,tu-munich,2020,10532,11386,12574,359347
2026-07-23,tu-munich,2019,10830,11134,12456,345838
2026-07-23,tu-munich,2018,8787,9019,10251,377691
2026-07-23,tu-munich,2017,8540,8716,9997,370479
2026-07-23,tu-munich,2016,7931,8088,9276,357003
2026-07-23,tu-munich,2015,7255,7360,8494,319556
2026-07-23,tu-munich,2014,7037,7118,8104,285322
2026-07-23,tu-munich,2013,6637,6659,7553,277212
2026-07-23,tu-munich,2012,5839,5865,6690,282668
2026-07-23,tu-munich,2011,5694,5729,6491,277175
2026-07-23,tu-munich,2010,5381,5406,6168,259077
2026-07-23,uni-stuttgart,2026,2989,2966,3117,450
2026-07-23,uni-stuttgart,2025,3541,4511,4619,7704
2026-07-23,uni-stuttgart,2024,3690,7770,7847,19937
2026-07-23,uni-stuttgart,2023,3819,6884,7033,29851
2026-07-23,uni-stuttgart,2022,3708,9498,9566,38977
2026-07-23,uni-stuttgart,2021,4085,49319,49389,60408
2026-07-23,uni-stuttgart,2020,3615,7253,7365,103770
2026-07-23,uni-stuttgart,2019,3390,3689,3767,77294
2026-07-23,uni-stuttgart,2018,3340,3395,3466,75844
2026-07-23,uni-stuttgart,2017,3303,3381,3451,70646
2026-07-23,uni-stuttgart,2016,3186,3249,3307,81004
2026-07-23,uni-stuttgart,2015,2769,2803,2868,69424
2026-07-23,uni-stuttgart,2014,2898,2919,2957,77867
2026-07-23,uni-stuttgart,2013,2682,2700,2749,73606
2026-07-23,uni-stuttgart,2012,2579,2595,2614,73935
2026-07-23,uni-stuttgart,2011,2640,2662,2662,86095
2026-07-23,uni-stuttgart,2010,2525,2560,2561,86833
