snapshot_date,tu9_slug,university_name,n_members,year,ca_works,ca_oa_works,ca_oa_share
2026-08-10,kit,Karlsruhe Institute of Technology,3,2026,3210,2868,0.8935
2026-08-10,kit,Karlsruhe Institute of Technology,3,2025,3486,2783,0.7983
2026-08-10,kit,Karlsruhe Institute of Technology,3,2024,3744,2833,0.7567
2026-08-10,kit,Karlsruhe Institute of Technology,3,2023,3821,2868,0.7506
2026-08-10,kit,Karlsruhe Institute of Technology,3,2022,3712,2557,0.6888
2026-08-10,kit,Karlsruhe Institute of Technology,3,2021,3892,2835,0.7284
2026-08-10,kit,Karlsruhe Institute of Technology,3,2020,3292,2246,0.6823
2026-08-10,kit,Karlsruhe Institute of Technology,3,2019,3155,1793,0.5683
2026-08-10,kit,Karlsruhe Institute of Technology,3,2018,3085,1354,0.4389
2026-08-10,kit,Karlsruhe Institute of Technology,3,2017,3014,1198,0.3975
2026-08-10,kit,Karlsruhe Institute of Technology,3,2016,3063,1213,0.396
2026-08-10,kit,Karlsruhe Institute of Technology,3,2015,2667,907,0.3401
2026-08-10,kit,Karlsruhe Institute of Technology,3,2014,2557,803,0.314
2026-08-10,kit,Karlsruhe Institute of Technology,3,2013,2441,667,0.2732
2026-08-10,leibniz-hannover,Leibniz University Hannover,4,2026,1222,1015,0.8306
2026-08-10,leibniz-hannover,Leibniz University Hannover,4,2025,1663,1156,0.6951
2026-08-10,leibniz-hannover,Leibniz University Hannover,4,2024,1747,1282,0.7338
2026-08-10,leibniz-hannover,Leibniz University Hannover,4,2023,1816,1267,0.6977
2026-08-10,leibniz-hannover,Leibniz University Hannover,4,2022,1872,1189,0.6351
2026-08-10,leibniz-hannover,Leibniz University Hannover,4,2021,1738,1106,0.6364
2026-08-10,leibniz-hannover,Leibniz University Hannover,4,2020,1649,973,0.5901
2026-08-10,leibniz-hannover,Leibniz University Hannover,4,2019,1450,636,0.4386
2026-08-10,leibniz-hannover,Leibniz University Hannover,4,2018,1411,606,0.4295
2026-08-10,leibniz-hannover,Leibniz University Hannover,4,2017,1420,532,0.3746
2026-08-10,leibniz-hannover,Leibniz University Hannover,4,2016,1364,530,0.3886
2026-08-10,leibniz-hannover,Leibniz University Hannover,4,2015,1175,444,0.3779
2026-08-10,leibniz-hannover,Leibniz University Hannover,4,2014,1095,356,0.3251
2026-08-10,leibniz-hannover,Leibniz University Hannover,4,2013,1026,299,0.2914
2026-08-10,rwth-aachen,RWTH Aachen University,2,2026,3830,3425,0.8943
2026-08-10,rwth-aachen,RWTH Aachen University,2,2025,4655,3729,0.8011
2026-08-10,rwth-aachen,RWTH Aachen University,2,2024,3948,2887,0.7313
2026-08-10,rwth-aachen,RWTH Aachen University,2,2023,4410,2988,0.6776
2026-08-10,rwth-aachen,RWTH Aachen University,2,2022,4105,2598,0.6329
2026-08-10,rwth-aachen,RWTH Aachen University,2,2021,4273,2839,0.6644
2026-08-10,rwth-aachen,RWTH Aachen University,2,2020,4220,2611,0.6187
2026-08-10,rwth-aachen,RWTH Aachen University,2,2019,3977,1997,0.5021
2026-08-10,rwth-aachen,RWTH Aachen University,2,2018,3824,1678,0.4388
2026-08-10,rwth-aachen,RWTH Aachen University,2,2017,3532,1384,0.3918
2026-08-10,rwth-aachen,RWTH Aachen University,2,2016,3463,1138,0.3286
2026-08-10,rwth-aachen,RWTH Aachen University,2,2015,3117,996,0.3195
2026-08-10,rwth-aachen,RWTH Aachen University,2,2014,3056,880,0.288
2026-08-10,rwth-aachen,RWTH Aachen University,2,2013,2560,700,0.2734
2026-08-10,tu-berlin,Technische Universität Berlin,4,2026,1316,1073,0.8153
2026-08-10,tu-berlin,Technische Universität Berlin,4,2025,1935,1447,0.7478
2026-08-10,tu-berlin,Technische Universität Berlin,4,2024,2018,1469,0.7279
2026-08-10,tu-berlin,Technische Universität Berlin,4,2023,2154,1344,0.624
2026-08-10,tu-berlin,Technische Universität Berlin,4,2022,2194,1394,0.6354
2026-08-10,tu-berlin,Technische Universität Berlin,4,2021,2419,1602,0.6623
2026-08-10,tu-berlin,Technische Universität Berlin,4,2020,2366,1424,0.6019
2026-08-10,tu-berlin,Technische Universität Berlin,4,2019,1863,846,0.4541
2026-08-10,tu-berlin,Technische Universität Berlin,4,2018,1861,706,0.3794
2026-08-10,tu-berlin,Technische Universität Berlin,4,2017,1791,618,0.3451
2026-08-10,tu-berlin,Technische Universität Berlin,4,2016,1760,586,0.333
2026-08-10,tu-berlin,Technische Universität Berlin,4,2015,1737,501,0.2884
2026-08-10,tu-berlin,Technische Universität Berlin,4,2014,1570,421,0.2682
2026-08-10,tu-berlin,Technische Universität Berlin,4,2013,1403,356,0.2537
2026-08-10,tu-braunschweig,Technische Universität Braunschweig,4,2026,911,736,0.8079
2026-08-10,tu-braunschweig,Technische Universität Braunschweig,4,2025,1332,959,0.72
2026-08-10,tu-braunschweig,Technische Universität Braunschweig,4,2024,1308,896,0.685
