snapshot_date,slug,year,ca_works,ca_oa_works,ca_oa_share,ca_doaj_works,ca_doaj_share
2026-07-23,kit,2026,2893,2592,0.896,309,0.1068
2026-07-23,kit,2025,3241,2539,0.7834,519,0.1601
2026-07-23,kit,2024,3582,2686,0.7499,588,0.1642
2026-07-23,kit,2023,3721,2754,0.7401,625,0.168
2026-07-23,kit,2022,3503,2436,0.6954,669,0.191
2026-07-23,kit,2021,3666,2674,0.7294,633,0.1727
2026-07-23,kit,2020,3145,2162,0.6874,563,0.179
2026-07-23,kit,2019,3025,1730,0.5719,488,0.1613
2026-07-23,kit,2018,2962,1310,0.4423,425,0.1435
2026-07-23,kit,2017,2901,1152,0.3971,393,0.1355
2026-07-23,kit,2016,2947,1163,0.3946,394,0.1337
2026-07-23,kit,2015,2532,832,0.3286,292,0.1153
2026-07-23,kit,2014,2443,754,0.3086,244,0.0999
2026-07-23,kit,2013,2300,605,0.263,214,0.093
