snapshot_date,tu9_slug,university_name,n_members,year,ca_works,ca_oa_works,ca_oa_share
2026-07-23,kit,Karlsruhe Institute of Technology,4,2026,2953,2644,0.8954
2026-07-23,kit,Karlsruhe Institute of Technology,4,2025,3321,2608,0.7853
2026-07-23,kit,Karlsruhe Institute of Technology,4,2024,3675,2764,0.7521
2026-07-23,kit,Karlsruhe Institute of Technology,4,2023,3830,2837,0.7407
2026-07-23,kit,Karlsruhe Institute of Technology,4,2022,3604,2505,0.6951
2026-07-23,kit,Karlsruhe Institute of Technology,4,2021,3775,2750,0.7285
2026-07-23,kit,Karlsruhe Institute of Technology,4,2020,3246,2230,0.687
2026-07-23,kit,Karlsruhe Institute of Technology,4,2019,3124,1783,0.5707
2026-07-23,kit,Karlsruhe Institute of Technology,4,2018,3063,1353,0.4417
2026-07-23,kit,Karlsruhe Institute of Technology,4,2017,2991,1188,0.3972
2026-07-23,kit,Karlsruhe Institute of Technology,4,2016,3060,1209,0.3951
2026-07-23,kit,Karlsruhe Institute of Technology,4,2015,2622,859,0.3276
2026-07-23,kit,Karlsruhe Institute of Technology,4,2014,2513,773,0.3076
2026-07-23,kit,Karlsruhe Institute of Technology,4,2013,2379,622,0.2615
