snapshot_date,slug,year,works_count,works_count_incl_xpac,works_count_lineage_incl_xpac,cited_by_count
2026-08-03,kit,2026,6838,6870,7054,1231
2026-08-03,kit,2025,7070,14026,14346,17443
2026-08-03,kit,2024,6980,13484,13716,51377
2026-08-03,kit,2023,7232,11413,11628,76143
2026-08-03,kit,2022,6713,11058,11235,109585
2026-08-03,kit,2021,7121,9497,9696,134765
2026-08-03,kit,2020,6471,10114,10273,189322
2026-08-03,kit,2019,6196,9647,9796,188980
2026-08-03,kit,2018,5861,6541,6715,174961
2026-08-03,kit,2017,5536,5655,5815,188478
2026-08-03,kit,2016,5710,5796,5985,191932
2026-08-03,kit,2015,5151,5213,5375,169223
2026-08-03,kit,2014,5021,5107,5227,203453
2026-08-03,kit,2013,4925,4979,5102,188524
2026-08-03,kit,2012,4562,4594,4689,168958
2026-08-03,kit,2011,4472,4509,4597,164746
2026-08-03,kit,2010,3911,3937,4029,132006
