snapshot_date,tu9_slug,university_name,n_members,year,ca_works,ca_oa_works,ca_oa_share
2026-08-03,kit,Karlsruhe Institute of Technology,3,2026,3135,2809,0.896
2026-08-03,kit,Karlsruhe Institute of Technology,3,2025,3455,2743,0.7939
2026-08-03,kit,Karlsruhe Institute of Technology,3,2024,3713,2787,0.7506
2026-08-03,kit,Karlsruhe Institute of Technology,3,2023,3811,2838,0.7447
2026-08-03,kit,Karlsruhe Institute of Technology,3,2022,3608,2522,0.699
2026-08-03,kit,Karlsruhe Institute of Technology,3,2021,3810,2800,0.7349
2026-08-03,kit,Karlsruhe Institute of Technology,3,2020,3235,2224,0.6875
2026-08-03,kit,Karlsruhe Institute of Technology,3,2019,3104,1763,0.568
2026-08-03,kit,Karlsruhe Institute of Technology,3,2018,3042,1333,0.4382
2026-08-03,kit,Karlsruhe Institute of Technology,3,2017,2956,1167,0.3948
2026-08-03,kit,Karlsruhe Institute of Technology,3,2016,3019,1190,0.3942
2026-08-03,kit,Karlsruhe Institute of Technology,3,2015,2617,880,0.3363
2026-08-03,kit,Karlsruhe Institute of Technology,3,2014,2518,786,0.3122
2026-08-03,kit,Karlsruhe Institute of Technology,3,2013,2386,636,0.2666
