snapshot_date,tu9_slug,university_name,n_members,year,ca_works,ca_oa_works,ca_oa_share
2026-08-17,kit,Karlsruhe Institute of Technology,4,2026,1273,1071,0.8413
2026-08-17,kit,Karlsruhe Institute of Technology,4,2025,2051,1733,0.845
2026-08-17,kit,Karlsruhe Institute of Technology,4,2024,2330,1952,0.8378
2026-08-17,kit,Karlsruhe Institute of Technology,4,2023,2426,1799,0.7415
2026-08-17,kit,Karlsruhe Institute of Technology,4,2022,2476,1798,0.7262
2026-08-17,kit,Karlsruhe Institute of Technology,4,2021,2563,1931,0.7534
2026-08-17,kit,Karlsruhe Institute of Technology,4,2020,2384,1666,0.6988
2026-08-17,kit,Karlsruhe Institute of Technology,4,2019,2257,1381,0.6119
2026-08-17,kit,Karlsruhe Institute of Technology,4,2018,2166,1012,0.4672
2026-08-17,kit,Karlsruhe Institute of Technology,4,2017,2114,950,0.4494
2026-08-17,kit,Karlsruhe Institute of Technology,4,2016,2123,910,0.4286
2026-08-17,kit,Karlsruhe Institute of Technology,4,2015,1982,745,0.3759
2026-08-17,kit,Karlsruhe Institute of Technology,4,2014,1845,651,0.3528
2026-08-17,kit,Karlsruhe Institute of Technology,4,2013,1729,535,0.3094
