snapshot_date,tu9_slug,university_name,n_members,year,ca_works,ca_oa_works,ca_oa_share
2026-07-23,kit,Karlsruhe Institute of Technology,4,2026,1116,935,0.8378
2026-07-23,kit,Karlsruhe Institute of Technology,4,2025,1979,1659,0.8383
2026-07-23,kit,Karlsruhe Institute of Technology,4,2024,2278,1917,0.8415
2026-07-23,kit,Karlsruhe Institute of Technology,4,2023,2409,1773,0.736
2026-07-23,kit,Karlsruhe Institute of Technology,4,2022,2431,1754,0.7215
2026-07-23,kit,Karlsruhe Institute of Technology,4,2021,2483,1870,0.7531
2026-07-23,kit,Karlsruhe Institute of Technology,4,2020,2359,1653,0.7007
2026-07-23,kit,Karlsruhe Institute of Technology,4,2019,2221,1365,0.6146
2026-07-23,kit,Karlsruhe Institute of Technology,4,2018,2156,1018,0.4722
2026-07-23,kit,Karlsruhe Institute of Technology,4,2017,2104,939,0.4463
2026-07-23,kit,Karlsruhe Institute of Technology,4,2016,2112,909,0.4304
2026-07-23,kit,Karlsruhe Institute of Technology,4,2015,1937,704,0.3634
2026-07-23,kit,Karlsruhe Institute of Technology,4,2014,1803,617,0.3422
2026-07-23,kit,Karlsruhe Institute of Technology,4,2013,1674,490,0.2927
