snapshot_date,slug,year,ca_works,ca_oa_works,ca_oa_share,ca_doaj_works,ca_doaj_share
2026-07-21,leibniz-hannover,2026,1081,904,0.8363,140,0.1295
2026-07-21,leibniz-hannover,2025,1580,1083,0.6854,285,0.1804
2026-07-21,leibniz-hannover,2024,1711,1254,0.7329,308,0.18
2026-07-21,leibniz-hannover,2023,1772,1228,0.693,295,0.1665
2026-07-21,leibniz-hannover,2022,1810,1141,0.6304,338,0.1867
2026-07-21,leibniz-hannover,2021,1636,1029,0.629,314,0.1919
2026-07-21,leibniz-hannover,2020,1590,930,0.5849,286,0.1799
2026-07-21,leibniz-hannover,2019,1387,599,0.4319,205,0.1478
2026-07-21,leibniz-hannover,2018,1352,564,0.4172,191,0.1413
2026-07-21,leibniz-hannover,2017,1348,481,0.3568,145,0.1076
2026-07-21,leibniz-hannover,2016,1272,490,0.3852,153,0.1203
2026-07-21,leibniz-hannover,2015,1115,404,0.3623,124,0.1112
2026-07-21,leibniz-hannover,2014,1032,335,0.3246,100,0.0969
2026-07-21,leibniz-hannover,2013,978,275,0.2812,76,0.0777
