snapshot_date,tu9_slug,university_name,n_members,year,ca_works,ca_oa_works,ca_oa_share
2026-08-31,leibniz-hannover,Leibniz University Hannover,1,2026,1300,1083,0.8331
2026-08-31,leibniz-hannover,Leibniz University Hannover,1,2025,1660,1161,0.6994
2026-08-31,leibniz-hannover,Leibniz University Hannover,1,2024,1722,1268,0.7364
2026-08-31,leibniz-hannover,Leibniz University Hannover,1,2023,1806,1260,0.6977
2026-08-31,leibniz-hannover,Leibniz University Hannover,1,2022,1872,1193,0.6373
2026-08-31,leibniz-hannover,Leibniz University Hannover,1,2021,1728,1107,0.6406
2026-08-31,leibniz-hannover,Leibniz University Hannover,1,2020,1630,984,0.6037
2026-08-31,leibniz-hannover,Leibniz University Hannover,1,2019,1424,623,0.4375
2026-08-31,leibniz-hannover,Leibniz University Hannover,1,2018,1391,587,0.422
2026-08-31,leibniz-hannover,Leibniz University Hannover,1,2017,1389,498,0.3585
2026-08-31,leibniz-hannover,Leibniz University Hannover,1,2016,1331,523,0.3929
2026-08-31,leibniz-hannover,Leibniz University Hannover,1,2015,1150,427,0.3713
2026-08-31,leibniz-hannover,Leibniz University Hannover,1,2014,1071,347,0.324
2026-08-31,leibniz-hannover,Leibniz University Hannover,1,2013,1013,294,0.2902
