snapshot_date,tu9_slug,university_name,n_members,year,ca_works,ca_oa_works,ca_oa_share
2026-07-23,leibniz-hannover,Leibniz University Hannover,1,2026,565,480,0.8496
2026-07-23,leibniz-hannover,Leibniz University Hannover,1,2025,965,819,0.8487
2026-07-23,leibniz-hannover,Leibniz University Hannover,1,2024,1004,865,0.8616
2026-07-23,leibniz-hannover,Leibniz University Hannover,1,2023,1055,795,0.7536
2026-07-23,leibniz-hannover,Leibniz University Hannover,1,2022,1054,774,0.7343
2026-07-23,leibniz-hannover,Leibniz University Hannover,1,2021,1074,771,0.7179
2026-07-23,leibniz-hannover,Leibniz University Hannover,1,2020,1052,700,0.6654
2026-07-23,leibniz-hannover,Leibniz University Hannover,1,2019,886,450,0.5079
2026-07-23,leibniz-hannover,Leibniz University Hannover,1,2018,917,419,0.4569
2026-07-23,leibniz-hannover,Leibniz University Hannover,1,2017,843,349,0.414
2026-07-23,leibniz-hannover,Leibniz University Hannover,1,2016,846,382,0.4515
2026-07-23,leibniz-hannover,Leibniz University Hannover,1,2015,744,312,0.4194
2026-07-23,leibniz-hannover,Leibniz University Hannover,1,2014,641,266,0.415
2026-07-23,leibniz-hannover,Leibniz University Hannover,1,2013,634,223,0.3517
