snapshot_date,tu9_slug,university_name,n_members,year,ca_works,ca_oa_works,ca_oa_share
2026-08-17,leibniz-hannover,Leibniz University Hannover,1,2026,643,552,0.8585
2026-08-17,leibniz-hannover,Leibniz University Hannover,1,2025,993,844,0.8499
2026-08-17,leibniz-hannover,Leibniz University Hannover,1,2024,1003,861,0.8584
2026-08-17,leibniz-hannover,Leibniz University Hannover,1,2023,1062,800,0.7533
2026-08-17,leibniz-hannover,Leibniz University Hannover,1,2022,1068,794,0.7434
2026-08-17,leibniz-hannover,Leibniz University Hannover,1,2021,1123,803,0.715
2026-08-17,leibniz-hannover,Leibniz University Hannover,1,2020,1059,709,0.6695
2026-08-17,leibniz-hannover,Leibniz University Hannover,1,2019,908,460,0.5066
2026-08-17,leibniz-hannover,Leibniz University Hannover,1,2018,924,431,0.4665
2026-08-17,leibniz-hannover,Leibniz University Hannover,1,2017,859,356,0.4144
2026-08-17,leibniz-hannover,Leibniz University Hannover,1,2016,856,404,0.472
2026-08-17,leibniz-hannover,Leibniz University Hannover,1,2015,759,329,0.4335
2026-08-17,leibniz-hannover,Leibniz University Hannover,1,2014,656,282,0.4299
2026-08-17,leibniz-hannover,Leibniz University Hannover,1,2013,640,234,0.3656
