snapshot_date,slug,name,openalex_id,ror_id,works_count,works_count_incl_xpac,works_count_lineage_incl_xpac,cited_by_count,h_index,i10_index,two_yr_mean_citedness,ref_year,ca_works_ref,ca_oa_works_ref,ca_oa_share_ref,ca_doaj_works_ref,ca_doaj_share_ref,period_start,period_end,ca_works_period,ca_oa_works_period,ca_oa_share_period
2026-07-18,leibniz-hannover,Leibniz University Hannover,I114112103,0304hq317,69790,75980,79296,6290427,945,64028,3.64498761354253,2025,1579,1082,0.6852,285,0.1805,2020,2025,10098,6664,0.6599
2026-07-20,leibniz-hannover,Leibniz University Hannover,I114112103,0304hq317,69800,75996,79307,6292080,946,64040,3.65030169145043,2025,1580,1083,0.6854,285,0.1804,2020,2025,10099,6665,0.66
2026-07-21,leibniz-hannover,Leibniz University Hannover,I114112103,0304hq317,69800,75996,79307,6292080,946,64040,3.65030169145043,2025,1580,1083,0.6854,285,0.1804,2020,2025,10099,6665,0.66
2026-07-23,leibniz-hannover,Leibniz University Hannover,I114112103,0304hq317,69892,76074,79411,6299802,946,64158,3.66348621438442,2025,1579,1082,0.6852,286,0.1811,2020,2025,10102,6664,0.6597
2026-07-27,leibniz-hannover,Leibniz University Hannover,I114112103,0304hq317,69916,76111,79436,6305885,947,64202,3.67385674479593,2025,1578,1081,0.685,286,0.1812,2020,2025,10103,6665,0.6597
2026-08-03,leibniz-hannover,Leibniz University Hannover,I114112103,0304hq317,70076,76278,79622,6353691,948,64563,3.72921205814445,2025,1619,1117,0.6899,297,0.1834,2020,2025,10186,6751,0.6628
2026-08-10,leibniz-hannover,Leibniz University Hannover,I114112103,0304hq317,70292,76516,79878,6354188,950,64516,3.8026689931498,2025,1642,1144,0.6967,297,0.1809,2020,2025,10353,6878,0.6643
2026-08-17,leibniz-hannover,Leibniz University Hannover,I114112103,0304hq317,70408,76611,79985,6373532,950,64619,3.88355855855856,2025,1642,1146,0.6979,297,0.1809,2020,2025,10355,6884,0.6648
2026-08-24,leibniz-hannover,Leibniz University Hannover,I114112103,0304hq317,70984,77248,80722,6384374,951,64715,3.82408711161175,2025,1659,1161,0.6998,299,0.1802,2020,2025,10425,6979,0.6694
2026-08-31,leibniz-hannover,Leibniz University Hannover,I114112103,0304hq317,70968,77282,80734,6394498,951,64785,3.92177103413967,2025,1660,1161,0.6994,299,0.1801,2020,2025,10418,6973,0.6693
2026-09-07,leibniz-hannover,Leibniz University Hannover,I114112103,0304hq317,71095,77436,80868,6408237,951,64896,3.98846201435288,2025,1660,1161,0.6994,298,0.1795,2020,2025,10420,6977,0.6696
