snapshot_date,tu9_slug,university_name,n_members,year,ca_works,ca_oa_works,ca_oa_share
2026-08-31,kit,Karlsruhe Institute of Technology,4,2026,1343,1134,0.8444
2026-08-31,kit,Karlsruhe Institute of Technology,4,2025,2048,1723,0.8413
2026-08-31,kit,Karlsruhe Institute of Technology,4,2024,2289,1889,0.8253
2026-08-31,kit,Karlsruhe Institute of Technology,4,2023,2427,1786,0.7359
2026-08-31,kit,Karlsruhe Institute of Technology,4,2022,2476,1800,0.727
2026-08-31,kit,Karlsruhe Institute of Technology,4,2021,2563,1927,0.7519
2026-08-31,kit,Karlsruhe Institute of Technology,4,2020,2384,1664,0.698
2026-08-31,kit,Karlsruhe Institute of Technology,4,2019,2262,1380,0.6101
2026-08-31,kit,Karlsruhe Institute of Technology,4,2018,2165,1003,0.4633
2026-08-31,kit,Karlsruhe Institute of Technology,4,2017,2115,944,0.4463
2026-08-31,kit,Karlsruhe Institute of Technology,4,2016,2122,905,0.4265
2026-08-31,kit,Karlsruhe Institute of Technology,4,2015,1984,740,0.373
2026-08-31,kit,Karlsruhe Institute of Technology,4,2014,1845,633,0.3431
2026-08-31,kit,Karlsruhe Institute of Technology,4,2013,1729,519,0.3002
2026-08-31,leibniz-hannover,Leibniz University Hannover,1,2026,669,575,0.8595
2026-08-31,leibniz-hannover,Leibniz University Hannover,1,2025,992,842,0.8488
2026-08-31,leibniz-hannover,Leibniz University Hannover,1,2024,988,847,0.8573
2026-08-31,leibniz-hannover,Leibniz University Hannover,1,2023,1066,801,0.7514
2026-08-31,leibniz-hannover,Leibniz University Hannover,1,2022,1081,806,0.7456
2026-08-31,leibniz-hannover,Leibniz University Hannover,1,2021,1127,806,0.7152
2026-08-31,leibniz-hannover,Leibniz University Hannover,1,2020,1067,709,0.6645
2026-08-31,leibniz-hannover,Leibniz University Hannover,1,2019,915,469,0.5126
2026-08-31,leibniz-hannover,Leibniz University Hannover,1,2018,932,431,0.4624
2026-08-31,leibniz-hannover,Leibniz University Hannover,1,2017,872,354,0.406
2026-08-31,leibniz-hannover,Leibniz University Hannover,1,2016,864,410,0.4745
2026-08-31,leibniz-hannover,Leibniz University Hannover,1,2015,763,326,0.4273
2026-08-31,leibniz-hannover,Leibniz University Hannover,1,2014,658,279,0.424
2026-08-31,leibniz-hannover,Leibniz University Hannover,1,2013,650,236,0.3631
2026-08-31,rwth-aachen,RWTH Aachen University,5,2026,2248,1936,0.8612
2026-08-31,rwth-aachen,RWTH Aachen University,5,2025,2897,2404,0.8298
2026-08-31,rwth-aachen,RWTH Aachen University,5,2024,2908,2307,0.7933
2026-08-31,rwth-aachen,RWTH Aachen University,5,2023,3084,2181,0.7072
2026-08-31,rwth-aachen,RWTH Aachen University,5,2022,3094,2154,0.6962
2026-08-31,rwth-aachen,RWTH Aachen University,5,2021,3196,2167,0.678
2026-08-31,rwth-aachen,RWTH Aachen University,5,2020,3144,1910,0.6075
2026-08-31,rwth-aachen,RWTH Aachen University,5,2019,2941,1416,0.4815
2026-08-31,rwth-aachen,RWTH Aachen University,5,2018,2873,1206,0.4198
2026-08-31,rwth-aachen,RWTH Aachen University,5,2017,2672,1010,0.378
2026-08-31,rwth-aachen,RWTH Aachen University,5,2016,2636,935,0.3547
2026-08-31,rwth-aachen,RWTH Aachen University,5,2015,2476,897,0.3623
2026-08-31,rwth-aachen,RWTH Aachen University,5,2014,2303,789,0.3426
2026-08-31,rwth-aachen,RWTH Aachen University,5,2013,1963,619,0.3153
2026-08-31,tu-berlin,Technische Universität Berlin,2,2026,696,598,0.8592
2026-08-31,tu-berlin,Technische Universität Berlin,2,2025,1164,956,0.8213
2026-08-31,tu-berlin,Technische Universität Berlin,2,2024,1194,961,0.8049
2026-08-31,tu-berlin,Technische Universität Berlin,2,2023,1297,866,0.6677
2026-08-31,tu-berlin,Technische Universität Berlin,2,2022,1345,922,0.6855
2026-08-31,tu-berlin,Technische Universität Berlin,2,2021,1452,1012,0.697
2026-08-31,tu-berlin,Technische Universität Berlin,2,2020,1407,961,0.683
2026-08-31,tu-berlin,Technische Universität Berlin,2,2019,1212,628,0.5182
2026-08-31,tu-berlin,Technische Universität Berlin,2,2018,1318,550,0.4173
2026-08-31,tu-berlin,Technische Universität Berlin,2,2017,1222,481,0.3936
2026-08-31,tu-berlin,Technische Universität Berlin,2,2016,1204,452,0.3754
2026-08-31,tu-berlin,Technische Universität Berlin,2,2015,1140,380,0.3333
2026-08-31,tu-berlin,Technische Universität Berlin,2,2014,1095,317,0.2895
2026-08-31,tu-berlin,Technische Universität Berlin,2,2013,920,258,0.2804
2026-08-31,tu-braunschweig,Technische Universität Braunschweig,1,2026,479,414,0.8643
2026-08-31,tu-braunschweig,Technische Universität Braunschweig,1,2025,738,639,0.8659
2026-08-31,tu-braunschweig,Technische Universität Braunschweig,1,2024,704,592,0.8409
2026-08-31,tu-braunschweig,Technische Universität Braunschweig,1,2023,767,607,0.7914
2026-08-31,tu-braunschweig,Technische Universität Braunschweig,1,2022,775,576,0.7432
2026-08-31,tu-braunschweig,Technische Universität Braunschweig,1,2021,875,620,0.7086
2026-08-31,tu-braunschweig,Technische Universität Braunschweig,1,2020,815,556,0.6822
2026-08-31,tu-braunschweig,Technische Universität Braunschweig,1,2019,744,369,0.496
2026-08-31,tu-braunschweig,Technische Universität Braunschweig,1,2018,724,316,0.4365
2026-08-31,tu-braunschweig,Technische Universität Braunschweig,1,2017,738,243,0.3293
2026-08-31,tu-braunschweig,Technische Universität Braunschweig,1,2016,662,274,0.4139
2026-08-31,tu-braunschweig,Technische Universität Braunschweig,1,2015,546,199,0.3645
2026-08-31,tu-braunschweig,Technische Universität Braunschweig,1,2014,574,192,0.3345
2026-08-31,tu-braunschweig,Technische Universität Braunschweig,1,2013,538,138,0.2565
2026-08-31,tu-darmstadt,Technische Universität Darmstadt,3,2026,648,509,0.7855
2026-08-31,tu-darmstadt,Technische Universität Darmstadt,3,2025,1102,835,0.7577
2026-08-31,tu-darmstadt,Technische Universität Darmstadt,3,2024,1088,823,0.7564
2026-08-31,tu-darmstadt,Technische Universität Darmstadt,3,2023,1152,790,0.6858
2026-08-31,tu-darmstadt,Technische Universität Darmstadt,3,2022,1197,817,0.6825
2026-08-31,tu-darmstadt,Technische Universität Darmstadt,3,2021,1315,843,0.6411
2026-08-31,tu-darmstadt,Technische Universität Darmstadt,3,2020,1257,787,0.6261
2026-08-31,tu-darmstadt,Technische Universität Darmstadt,3,2019,1088,516,0.4743
2026-08-31,tu-darmstadt,Technische Universität Darmstadt,3,2018,1105,418,0.3783
2026-08-31,tu-darmstadt,Technische Universität Darmstadt,3,2017,1049,382,0.3642
2026-08-31,tu-darmstadt,Technische Universität Darmstadt,3,2016,1012,342,0.3379
2026-08-31,tu-darmstadt,Technische Universität Darmstadt,3,2015,924,289,0.3128
2026-08-31,tu-darmstadt,Technische Universität Darmstadt,3,2014,863,247,0.2862
2026-08-31,tu-darmstadt,Technische Universität Darmstadt,3,2013,797,201,0.2522
2026-08-31,tu-dresden,Technische Universität Dresden,16,2026,1317,1105,0.839
2026-08-31,tu-dresden,Technische Universität Dresden,16,2025,2175,1812,0.8331
2026-08-31,tu-dresden,Technische Universität Dresden,16,2024,2165,1757,0.8115
2026-08-31,tu-dresden,Technische Universität Dresden,16,2023,2426,1797,0.7407
2026-08-31,tu-dresden,Technische Universität Dresden,16,2022,2469,1769,0.7165
2026-08-31,tu-dresden,Technische Universität Dresden,16,2021,2628,1944,0.7397
2026-08-31,tu-dresden,Technische Universität Dresden,16,2020,2457,1649,0.6711
2026-08-31,tu-dresden,Technische Universität Dresden,16,2019,2173,1131,0.5205
2026-08-31,tu-dresden,Technische Universität Dresden,16,2018,2051,908,0.4427
2026-08-31,tu-dresden,Technische Universität Dresden,16,2017,2178,871,0.3999
2026-08-31,tu-dresden,Technische Universität Dresden,16,2016,2043,852,0.417
2026-08-31,tu-dresden,Technische Universität Dresden,16,2015,1879,693,0.3688
2026-08-31,tu-dresden,Technische Universität Dresden,16,2014,1788,587,0.3283
2026-08-31,tu-dresden,Technische Universität Dresden,16,2013,1581,488,0.3087
2026-08-31,tu-munich,Technical University of Munich,4,2026,2325,1981,0.852
