snapshot_date,tu9_slug,university_name,n_members,year,ca_works,ca_oa_works,ca_oa_share
2026-08-31,kit,Karlsruhe Institute of Technology,4,2026,1337,1128,0.8437
2026-08-31,kit,Karlsruhe Institute of Technology,4,2025,2041,1716,0.8408
2026-08-31,kit,Karlsruhe Institute of Technology,4,2024,2283,1883,0.8248
2026-08-31,kit,Karlsruhe Institute of Technology,4,2023,2424,1783,0.7356
2026-08-31,kit,Karlsruhe Institute of Technology,4,2022,2465,1789,0.7258
2026-08-31,kit,Karlsruhe Institute of Technology,4,2021,2554,1918,0.751
2026-08-31,kit,Karlsruhe Institute of Technology,4,2020,2374,1654,0.6967
2026-08-31,kit,Karlsruhe Institute of Technology,4,2019,2255,1373,0.6089
2026-08-31,kit,Karlsruhe Institute of Technology,4,2018,2163,1001,0.4628
2026-08-31,kit,Karlsruhe Institute of Technology,4,2017,2106,936,0.4444
2026-08-31,kit,Karlsruhe Institute of Technology,4,2016,2118,901,0.4254
2026-08-31,kit,Karlsruhe Institute of Technology,4,2015,1982,738,0.3724
2026-08-31,kit,Karlsruhe Institute of Technology,4,2014,1841,629,0.3417
2026-08-31,kit,Karlsruhe Institute of Technology,4,2013,1728,519,0.3003
2026-08-31,leibniz-hannover,Leibniz University Hannover,1,2026,669,575,0.8595
2026-08-31,leibniz-hannover,Leibniz University Hannover,1,2025,991,841,0.8486
2026-08-31,leibniz-hannover,Leibniz University Hannover,1,2024,988,847,0.8573
2026-08-31,leibniz-hannover,Leibniz University Hannover,1,2023,1065,800,0.7512
2026-08-31,leibniz-hannover,Leibniz University Hannover,1,2022,1079,804,0.7451
2026-08-31,leibniz-hannover,Leibniz University Hannover,1,2021,1126,805,0.7149
2026-08-31,leibniz-hannover,Leibniz University Hannover,1,2020,1064,707,0.6645
2026-08-31,leibniz-hannover,Leibniz University Hannover,1,2019,908,463,0.5099
2026-08-31,leibniz-hannover,Leibniz University Hannover,1,2018,932,431,0.4624
2026-08-31,leibniz-hannover,Leibniz University Hannover,1,2017,865,347,0.4012
2026-08-31,leibniz-hannover,Leibniz University Hannover,1,2016,863,409,0.4739
2026-08-31,leibniz-hannover,Leibniz University Hannover,1,2015,758,321,0.4235
