snapshot_date,slug,name,openalex_id,ror_id,works_count,works_count_incl_xpac,works_count_lineage_incl_xpac,cited_by_count,h_index,i10_index,two_yr_mean_citedness,ref_year,ca_works_ref,ca_oa_works_ref,ca_oa_share_ref,ca_doaj_works_ref,ca_doaj_share_ref,period_start,period_end,ca_works_period,ca_oa_works_period,ca_oa_share_period
2026-07-18,kit,Karlsruhe Institute of Technology,I102335020,04t3en479,134480,167483,171487,11311715,751,179496,2.88397537021017,2025,3237,2537,0.7838,519,0.1603,2020,2025,20848,15243,0.7311
2026-07-18,leibniz-hannover,Leibniz University Hannover,I114112103,0304hq317,69790,75980,79296,6290427,945,64028,3.64498761354253,2025,1579,1082,0.6852,285,0.1805,2020,2025,10098,6664,0.6599
2026-07-18,rwth-aachen,RWTH Aachen University,I887968799,04xfq0f34,159884,192704,193178,17451279,893,250348,2.4442004375796,2025,4441,3542,0.7976,726,0.1635,2020,2025,24754,16994,0.6865
2026-07-18,tu-berlin,Technische Universität Berlin,I4577782,03v4gjf40,105240,111779,112790,5497206,632,90673,3.06024096385542,2025,1805,1346,0.7457,327,0.1812,2020,2025,12371,8216,0.6641
2026-07-18,tu-braunschweig,Technische Universität Braunschweig,I94509681,010nsgg66,59602,63153,67504,2820209,421,51718,2.26690182245738,2025,1211,860,0.7102,209,0.1726,2020,2025,7545,4936,0.6542
2026-07-18,tu-darmstadt,Technische Universität Darmstadt,I31512782,05n911h24,75746,80115,80170,3988591,491,70458,2.98350643793519,2025,1752,1103,0.6296,266,0.1518,2020,2025,10805,6455,0.5974
2026-07-18,tu-dresden,Technische Universität Dresden,I78650965,042aqky30,129281,139032,148325,10151009,767,146710,3.59341640319881,2025,2492,1903,0.7636,543,0.2179,2020,2025,17848,12340,0.6914
2026-07-18,tu-munich,Technical University of Munich,I62916508,02kkvpp62,215174,227413,255033,18812377,1021,261496,3.90902897408197,2025,4868,3929,0.8071,922,0.1894,2020,2025,29525,21467,0.7271
2026-07-18,uni-stuttgart,University of Stuttgart,I100066346,04vnq7t77,94960,158778,159956,5324561,613,85746,1.82250548245614,2025,1809,1138,0.6291,279,0.1542,2020,2025,12054,6981,0.5791
2026-07-20,kit,Karlsruhe Institute of Technology,I102335020,04t3en479,134496,167518,171504,11315221,751,179563,2.8915863155354,2025,3238,2538,0.7838,519,0.1603,2020,2025,20846,15244,0.7313
2026-07-20,leibniz-hannover,Leibniz University Hannover,I114112103,0304hq317,69800,75996,79307,6292080,946,64040,3.65030169145043,2025,1580,1083,0.6854,285,0.1804,2020,2025,10099,6665,0.66
2026-07-20,rwth-aachen,RWTH Aachen University,I887968799,04xfq0f34,159922,192794,193217,17456202,893,250399,2.44975663049416,2025,4443,3543,0.7974,726,0.1634,2020,2025,24755,16996,0.6866
2026-07-20,tu-berlin,Technische Universität Berlin,I4577782,03v4gjf40,105254,111800,112805,5498783,632,90692,3.06493879455792,2025,1804,1346,0.7461,327,0.1813,2020,2025,12371,8217,0.6642
2026-07-20,tu-braunschweig,Technische Universität Braunschweig,I94509681,010nsgg66,59607,63165,67512,2821278,422,51722,2.27410056581616,2025,1211,860,0.7102,209,0.1726,2020,2025,7544,4936,0.6543
2026-07-20,tu-darmstadt,Technische Universität Darmstadt,I31512782,05n911h24,75756,80138,80184,3990044,491,70476,2.98819600838705,2025,1752,1103,0.6296,266,0.1518,2020,2025,10807,6455,0.5973
2026-07-20,tu-dresden,Technische Universität Dresden,I78650965,042aqky30,129294,139072,148339,10154484,767,146764,3.59937271495648,2025,2492,1903,0.7636,543,0.2179,2020,2025,17844,12337,0.6914
2026-07-20,tu-munich,Technical University of Munich,I62916508,02kkvpp62,215211,227502,255082,18820280,1021,261578,3.91723983834616,2025,4867,3928,0.8071,922,0.1894,2020,2025,29521,21464,0.7271
2026-07-20,uni-stuttgart,University of Stuttgart,I100066346,04vnq7t77,94973,158807,159971,5325780,613,85763,1.82575135490228,2025,1809,1138,0.6291,279,0.1542,2020,2025,12054,6981,0.5791
2026-07-21,kit,Karlsruhe Institute of Technology,I102335020,04t3en479,134496,167518,171504,11315221,751,179563,2.8915863155354,2025,3238,2538,0.7838,519,0.1603,2020,2025,20846,15244,0.7313
2026-07-21,leibniz-hannover,Leibniz University Hannover,I114112103,0304hq317,69800,75996,79307,6292080,946,64040,3.65030169145043,2025,1580,1083,0.6854,285,0.1804,2020,2025,10099,6665,0.66
2026-07-21,rwth-aachen,RWTH Aachen University,I887968799,04xfq0f34,159922,192794,193217,17456202,893,250399,2.44975663049416,2025,4443,3543,0.7974,726,0.1634,2020,2025,24755,16996,0.6866
2026-07-21,tu-berlin,Technische Universität Berlin,I4577782,03v4gjf40,105254,111800,112805,5498783,632,90692,3.06493879455792,2025,1804,1346,0.7461,327,0.1813,2020,2025,12371,8217,0.6642
2026-07-21,tu-braunschweig,Technische Universität Braunschweig,I94509681,010nsgg66,59607,63165,67512,2821278,422,51722,2.27410056581616,2025,1211,860,0.7102,209,0.1726,2020,2025,7544,4936,0.6543
2026-07-21,tu-darmstadt,Technische Universität Darmstadt,I31512782,05n911h24,75756,80138,80184,3990044,491,70476,2.98819600838705,2025,1752,1103,0.6296,266,0.1518,2020,2025,10807,6455,0.5973
2026-07-21,tu-dresden,Technische Universität Dresden,I78650965,042aqky30,129294,139072,148339,10154484,767,146764,3.59937271495648,2025,2492,1903,0.7636,543,0.2179,2020,2025,17844,12337,0.6914
2026-07-21,tu-munich,Technical University of Munich,I62916508,02kkvpp62,215211,227502,255082,18820280,1021,261578,3.91723983834616,2025,4867,3928,0.8071,922,0.1894,2020,2025,29521,21464,0.7271
2026-07-21,uni-stuttgart,University of Stuttgart,I100066346,04vnq7t77,94973,158807,159971,5325780,613,85763,1.82575135490228,2025,1809,1138,0.6291,279,0.1542,2020,2025,12054,6981,0.5791
