snapshot_date,slug,year,ca_works,ca_oa_works,ca_oa_share,ca_doaj_works,ca_doaj_share
2026-08-10,rwth-aachen,2026,3829,3424,0.8942,505,0.1319
2026-08-10,rwth-aachen,2025,4655,3729,0.8011,794,0.1706
2026-08-10,rwth-aachen,2024,3948,2887,0.7313,791,0.2004
2026-08-10,rwth-aachen,2023,4410,2988,0.6776,792,0.1796
2026-08-10,rwth-aachen,2022,4105,2598,0.6329,856,0.2085
2026-08-10,rwth-aachen,2021,4273,2839,0.6644,737,0.1725
2026-08-10,rwth-aachen,2020,4220,2611,0.6187,551,0.1306
2026-08-10,rwth-aachen,2019,3977,1997,0.5021,521,0.131
2026-08-10,rwth-aachen,2018,3824,1678,0.4388,452,0.1182
2026-08-10,rwth-aachen,2017,3532,1384,0.3918,354,0.1002
2026-08-10,rwth-aachen,2016,3463,1138,0.3286,307,0.0887
2026-08-10,rwth-aachen,2015,3117,996,0.3195,295,0.0946
2026-08-10,rwth-aachen,2014,3056,880,0.288,247,0.0808
2026-08-10,rwth-aachen,2013,2560,700,0.2734,221,0.0863
