snapshot_date,tu9_slug,university_name,n_members,year,ca_works,ca_oa_works,ca_oa_share
2026-07-23,rwth-aachen,RWTH Aachen University,5,2026,3543,3110,0.8778
2026-07-23,rwth-aachen,RWTH Aachen University,5,2025,4699,3696,0.7866
2026-07-23,rwth-aachen,RWTH Aachen University,5,2024,4093,2937,0.7176
2026-07-23,rwth-aachen,RWTH Aachen University,5,2023,4664,3078,0.6599
2026-07-23,rwth-aachen,RWTH Aachen University,5,2022,4273,2670,0.6249
2026-07-23,rwth-aachen,RWTH Aachen University,5,2021,4378,2892,0.6606
2026-07-23,rwth-aachen,RWTH Aachen University,5,2020,4378,2695,0.6156
2026-07-23,rwth-aachen,RWTH Aachen University,5,2019,4111,2034,0.4948
2026-07-23,rwth-aachen,RWTH Aachen University,5,2018,4028,1718,0.4265
2026-07-23,rwth-aachen,RWTH Aachen University,5,2017,3795,1426,0.3758
2026-07-23,rwth-aachen,RWTH Aachen University,5,2016,3745,1187,0.317
2026-07-23,rwth-aachen,RWTH Aachen University,5,2015,3368,1045,0.3103
2026-07-23,rwth-aachen,RWTH Aachen University,5,2014,3226,893,0.2768
2026-07-23,rwth-aachen,RWTH Aachen University,5,2013,2749,725,0.2637
