snapshot_date,slug,year,works_count,works_count_incl_xpac,works_count_lineage_incl_xpac,cited_by_count
2026-09-07,rwth-aachen,2026,10014,10060,10150,2745
2026-09-07,rwth-aachen,2025,10520,15383,15389,25969
2026-09-07,rwth-aachen,2024,8156,14097,14097,67547
2026-09-07,rwth-aachen,2023,8901,14605,14606,99305
2026-09-07,rwth-aachen,2022,8225,12171,12172,138885
2026-09-07,rwth-aachen,2021,8507,12990,12991,182582
2026-09-07,rwth-aachen,2020,8098,10629,10633,225104
2026-09-07,rwth-aachen,2019,7349,9201,9206,213781
2026-09-07,rwth-aachen,2018,7019,8523,8530,244366
2026-09-07,rwth-aachen,2017,6551,7481,7486,212029
2026-09-07,rwth-aachen,2016,6359,6941,6945,237688
2026-09-07,rwth-aachen,2015,5762,5944,5947,196811
2026-09-07,rwth-aachen,2014,5630,5727,5731,256145
2026-09-07,rwth-aachen,2013,5017,5091,5094,191072
2026-09-07,rwth-aachen,2012,5162,5228,5233,197450
2026-09-07,rwth-aachen,2011,4674,4745,4746,196729
2026-09-07,rwth-aachen,2010,4517,4577,4577,170179
