snapshot_date,tu9_slug,university_name,n_members,year,ca_works,ca_oa_works,ca_oa_share
2026-07-27,rwth-aachen,RWTH Aachen University,2,2026,3465,3094,0.8929
2026-07-27,rwth-aachen,RWTH Aachen University,2,2025,4447,3547,0.7976
2026-07-27,rwth-aachen,RWTH Aachen University,2,2024,3824,2795,0.7309
2026-07-27,rwth-aachen,RWTH Aachen University,2,2023,4332,2909,0.6715
2026-07-27,rwth-aachen,RWTH Aachen University,2,2022,3976,2495,0.6275
2026-07-27,rwth-aachen,RWTH Aachen University,2,2021,4116,2735,0.6645
2026-07-27,rwth-aachen,RWTH Aachen University,2,2020,4085,2529,0.6191
2026-07-27,rwth-aachen,RWTH Aachen University,2,2019,3877,1945,0.5017
2026-07-27,rwth-aachen,RWTH Aachen University,2,2018,3728,1623,0.4354
2026-07-27,rwth-aachen,RWTH Aachen University,2,2017,3445,1335,0.3875
2026-07-27,rwth-aachen,RWTH Aachen University,2,2016,3384,1093,0.323
2026-07-27,rwth-aachen,RWTH Aachen University,2,2015,3020,953,0.3156
2026-07-27,rwth-aachen,RWTH Aachen University,2,2014,2942,823,0.2797
2026-07-27,rwth-aachen,RWTH Aachen University,2,2013,2475,654,0.2642
