snapshot_date,tu9_slug,university_name,n_members,year,ca_works,ca_oa_works,ca_oa_share
2026-07-23,rwth-aachen,RWTH Aachen University,5,2026,1503,1245,0.8283
2026-07-23,rwth-aachen,RWTH Aachen University,5,2025,2564,2109,0.8225
2026-07-23,rwth-aachen,RWTH Aachen University,5,2024,2845,2299,0.8081
2026-07-23,rwth-aachen,RWTH Aachen University,5,2023,3005,2148,0.7148
2026-07-23,rwth-aachen,RWTH Aachen University,5,2022,2986,2063,0.6909
2026-07-23,rwth-aachen,RWTH Aachen University,5,2021,3035,2065,0.6804
2026-07-23,rwth-aachen,RWTH Aachen University,5,2020,2995,1834,0.61240000000000006
2026-07-23,rwth-aachen,RWTH Aachen University,5,2019,2818,1371,0.4865
2026-07-23,rwth-aachen,RWTH Aachen University,5,2018,2760,1157,0.4192
2026-07-23,rwth-aachen,RWTH Aachen University,5,2017,2566,976,0.3804
2026-07-23,rwth-aachen,RWTH Aachen University,5,2016,2542,923,0.3631
2026-07-23,rwth-aachen,RWTH Aachen University,5,2015,2369,880,0.3715
2026-07-23,rwth-aachen,RWTH Aachen University,5,2014,2196,761,0.3465
2026-07-23,rwth-aachen,RWTH Aachen University,5,2013,1897,599,0.3158
