snapshot_date,tu9_slug,university_name,n_members,year,ca_works,ca_oa_works,ca_oa_share
2026-07-21,rwth-aachen,RWTH Aachen University,5,2026,1477,1222,0.8274
2026-07-21,rwth-aachen,RWTH Aachen University,5,2025,2563,2109,0.8229
2026-07-21,rwth-aachen,RWTH Aachen University,5,2024,2834,2289,0.8077
2026-07-21,rwth-aachen,RWTH Aachen University,5,2023,3004,2147,0.7147
2026-07-21,rwth-aachen,RWTH Aachen University,5,2022,2982,2061,0.6911
2026-07-21,rwth-aachen,RWTH Aachen University,5,2021,3029,2063,0.6811
2026-07-21,rwth-aachen,RWTH Aachen University,5,2020,2980,1823,0.6117
2026-07-21,rwth-aachen,RWTH Aachen University,5,2019,2803,1363,0.4863
2026-07-21,rwth-aachen,RWTH Aachen University,5,2018,2735,1142,0.4176
2026-07-21,rwth-aachen,RWTH Aachen University,5,2017,2535,958,0.3779
2026-07-21,rwth-aachen,RWTH Aachen University,5,2016,2507,905,0.361
2026-07-21,rwth-aachen,RWTH Aachen University,5,2015,2332,867,0.3718
2026-07-21,rwth-aachen,RWTH Aachen University,5,2014,2161,745,0.3447
2026-07-21,rwth-aachen,RWTH Aachen University,5,2013,1884,596,0.3163
