snapshot_date,slug,year,works_count,cited_by_count
2026-07-18,slub-dresden,2026,540,0
2026-07-18,slub-dresden,2025,190,1
2026-07-18,slub-dresden,2024,151,39
2026-07-18,slub-dresden,2023,104,106
2026-07-18,slub-dresden,2022,54,33
2026-07-18,slub-dresden,2021,57,7
2026-07-18,slub-dresden,2020,36,36
2026-07-18,slub-dresden,2019,20,30
2026-07-18,slub-dresden,2018,22,16
2026-07-18,slub-dresden,2017,16,8
2026-07-18,slub-dresden,2016,7,7
2026-07-18,slub-dresden,2015,15,12
2026-07-18,slub-dresden,2014,5,0
2026-07-18,slub-dresden,2013,5,0
2026-07-18,slub-dresden,2012,2,0
2026-07-18,slub-dresden,2011,1,0
2026-07-18,slub-dresden,2010,2,0
