snapshot_date,slug,year,works_count,cited_by_count
2026-07-18,tib,2026,538,211
2026-07-18,tib,2025,1082,274
2026-07-18,tib,2024,795,597
2026-07-18,tib,2023,729,826
2026-07-18,tib,2022,486,1122
2026-07-18,tib,2021,337,734
2026-07-18,tib,2020,293,2130
2026-07-18,tib,2019,341,890
2026-07-18,tib,2018,229,983
2026-07-18,tib,2017,83,387
2026-07-18,tib,2016,33,278
2026-07-18,tib,2015,21,186
2026-07-18,tib,2014,42,132
2026-07-18,tib,2013,14,48
2026-07-18,tib,2012,5,16
2026-07-18,tib,2011,5,7
2026-07-18,tib,2010,10,72
