snapshot_date,slug,year,ca_works,ca_oa_works,ca_oa_share,ca_doaj_works,ca_doaj_share
2026-08-10,tu-berlin,2026,1274,1039,0.8155,212,0.1664
2026-08-10,tu-berlin,2025,1866,1397,0.7487,333,0.1785
2026-08-10,tu-berlin,2024,1972,1439,0.7297,329,0.1668
2026-08-10,tu-berlin,2023,2108,1313,0.6229,358,0.1698
2026-08-10,tu-berlin,2022,2134,1354,0.6345,385,0.1804
2026-08-10,tu-berlin,2021,2366,1563,0.6606,361,0.1526
2026-08-10,tu-berlin,2020,2323,1398,0.6018,310,0.1334
2026-08-10,tu-berlin,2019,1824,832,0.4561,242,0.1327
2026-08-10,tu-berlin,2018,1856,705,0.3798,213,0.1148
2026-08-10,tu-berlin,2017,1790,617,0.3447,184,0.1028
2026-08-10,tu-berlin,2016,1760,586,0.333,152,0.0864
2026-08-10,tu-berlin,2015,1737,501,0.2884,136,0.0783
2026-08-10,tu-berlin,2014,1569,420,0.2677,112,0.0714
2026-08-10,tu-berlin,2013,1400,355,0.2536,83,0.0593
