snapshot_date,tu9_slug,university_name,n_members,year,ca_works,ca_oa_works,ca_oa_share
2026-08-24,tu-berlin,Technische Universität Berlin,2,2026,1394,1145,0.8214
2026-08-24,tu-berlin,Technische Universität Berlin,2,2025,1885,1414,0.7501
2026-08-24,tu-berlin,Technische Universität Berlin,2,2024,1957,1418,0.7246
2026-08-24,tu-berlin,Technische Universität Berlin,2,2023,2122,1327,0.6254
2026-08-24,tu-berlin,Technische Universität Berlin,2,2022,2157,1376,0.6379
2026-08-24,tu-berlin,Technische Universität Berlin,2,2021,2371,1563,0.6592
2026-08-24,tu-berlin,Technische Universität Berlin,2,2020,2325,1422,0.6116
2026-08-24,tu-berlin,Technische Universität Berlin,2,2019,1826,831,0.4551
2026-08-24,tu-berlin,Technische Universität Berlin,2,2018,1865,708,0.3796
2026-08-24,tu-berlin,Technische Universität Berlin,2,2017,1789,604,0.3376
2026-08-24,tu-berlin,Technische Universität Berlin,2,2016,1765,590,0.3343
2026-08-24,tu-berlin,Technische Universität Berlin,2,2015,1739,493,0.2835
2026-08-24,tu-berlin,Technische Universität Berlin,2,2014,1570,401,0.2554
2026-08-24,tu-berlin,Technische Universität Berlin,2,2013,1399,341,0.2437
