snapshot_date,slug,year,works_count,works_count_incl_xpac,cited_by_count
2026-07-18,tu-berlin,2026,3138,3153,674
2026-07-18,tu-berlin,2025,4393,5754,11088
2026-07-18,tu-berlin,2024,4257,5643,28608
2026-07-18,tu-berlin,2023,4439,5338,46696
2026-07-18,tu-berlin,2022,4508,5360,65300
2026-07-18,tu-berlin,2021,4870,5606,93264
2026-07-18,tu-berlin,2020,4675,5015,126039
2026-07-18,tu-berlin,2019,3803,4023,108603
2026-07-18,tu-berlin,2018,3724,3827,105658
2026-07-18,tu-berlin,2017,3470,3593,107823
2026-07-18,tu-berlin,2016,3656,3721,116755
2026-07-18,tu-berlin,2015,3463,3506,96160
2026-07-18,tu-berlin,2014,3103,3140,90033
2026-07-18,tu-berlin,2013,3023,3052,92959
2026-07-18,tu-berlin,2012,3015,3037,104460
2026-07-18,tu-berlin,2011,2710,2729,90948
2026-07-18,tu-berlin,2010,2839,2852,101600
