snapshot_date,tu9_slug,university_name,n_members,year,ca_works,ca_oa_works,ca_oa_share
2026-08-10,tu-berlin,Technische Universität Berlin,4,2026,1316,1073,0.8153
2026-08-10,tu-berlin,Technische Universität Berlin,4,2025,1935,1447,0.7478
2026-08-10,tu-berlin,Technische Universität Berlin,4,2024,2018,1469,0.7279
2026-08-10,tu-berlin,Technische Universität Berlin,4,2023,2154,1344,0.624
2026-08-10,tu-berlin,Technische Universität Berlin,4,2022,2194,1394,0.6354
2026-08-10,tu-berlin,Technische Universität Berlin,4,2021,2419,1602,0.6623
2026-08-10,tu-berlin,Technische Universität Berlin,4,2020,2366,1424,0.6019
2026-08-10,tu-berlin,Technische Universität Berlin,4,2019,1863,846,0.4541
2026-08-10,tu-berlin,Technische Universität Berlin,4,2018,1861,706,0.3794
2026-08-10,tu-berlin,Technische Universität Berlin,4,2017,1791,618,0.3451
2026-08-10,tu-berlin,Technische Universität Berlin,4,2016,1760,586,0.333
2026-08-10,tu-berlin,Technische Universität Berlin,4,2015,1737,501,0.2884
2026-08-10,tu-berlin,Technische Universität Berlin,4,2014,1570,421,0.2682
2026-08-10,tu-berlin,Technische Universität Berlin,4,2013,1403,356,0.2537
