snapshot_date,tu9_slug,university_name,n_members,year,ca_works,ca_oa_works,ca_oa_share
2026-08-03,tu-berlin,Technische Universität Berlin,2,2026,624,536,0.859
2026-08-03,tu-berlin,Technische Universität Berlin,2,2025,1166,959,0.8225
2026-08-03,tu-berlin,Technische Universität Berlin,2,2024,1216,987,0.8117
2026-08-03,tu-berlin,Technische Universität Berlin,2,2023,1293,861,0.6659
2026-08-03,tu-berlin,Technische Universität Berlin,2,2022,1327,916,0.6903
2026-08-03,tu-berlin,Technische Universität Berlin,2,2021,1413,997,0.7056
2026-08-03,tu-berlin,Technische Universität Berlin,2,2020,1359,934,0.6873
2026-08-03,tu-berlin,Technische Universität Berlin,2,2019,1189,611,0.5139
2026-08-03,tu-berlin,Technische Universität Berlin,2,2018,1289,536,0.4158
2026-08-03,tu-berlin,Technische Universität Berlin,2,2017,1196,468,0.3913
2026-08-03,tu-berlin,Technische Universität Berlin,2,2016,1175,441,0.3753
2026-08-03,tu-berlin,Technische Universität Berlin,2,2015,1117,374,0.3348
2026-08-03,tu-berlin,Technische Universität Berlin,2,2014,1071,326,0.3044
2026-08-03,tu-berlin,Technische Universität Berlin,2,2013,907,258,0.2845
