snapshot_date,tu9_slug,university_name,n_members,year,ca_works,ca_oa_works,ca_oa_share
2026-08-10,tu-berlin,Technische Universität Berlin,2,2026,639,548,0.8576
2026-08-10,tu-berlin,Technische Universität Berlin,2,2025,1167,960,0.8226
2026-08-10,tu-berlin,Technische Universität Berlin,2,2024,1209,979,0.8098
2026-08-10,tu-berlin,Technische Universität Berlin,2,2023,1294,865,0.6685
2026-08-10,tu-berlin,Technische Universität Berlin,2,2022,1342,920,0.6855
2026-08-10,tu-berlin,Technische Universität Berlin,2,2021,1444,1009,0.6988
2026-08-10,tu-berlin,Technische Universität Berlin,2,2020,1398,954,0.6824
2026-08-10,tu-berlin,Technische Universität Berlin,2,2019,1205,624,0.5178
2026-08-10,tu-berlin,Technische Universität Berlin,2,2018,1311,549,0.4188
2026-08-10,tu-berlin,Technische Universität Berlin,2,2017,1216,482,0.3964
2026-08-10,tu-berlin,Technische Universität Berlin,2,2016,1201,450,0.3747
2026-08-10,tu-berlin,Technische Universität Berlin,2,2015,1138,389,0.3418
2026-08-10,tu-berlin,Technische Universität Berlin,2,2014,1093,334,0.3056
2026-08-10,tu-berlin,Technische Universität Berlin,2,2013,916,271,0.2959
