snapshot_date,slug,year,ca_works,ca_oa_works,ca_oa_share,ca_doaj_works,ca_doaj_share
2026-09-07,tu-braunschweig,2026,962,779,0.8098,166,0.1726
2026-09-07,tu-braunschweig,2025,1287,934,0.7257,223,0.1733
2026-09-07,tu-braunschweig,2024,1258,854,0.6789,222,0.1765
2026-09-07,tu-braunschweig,2023,1365,917,0.6718,248,0.1817
2026-09-07,tu-braunschweig,2022,1358,858,0.6318,240,0.1767
2026-09-07,tu-braunschweig,2021,1277,817,0.6398,274,0.2146
2026-09-07,tu-braunschweig,2020,1264,739,0.5847,200,0.1582
2026-09-07,tu-braunschweig,2019,1104,473,0.4284,152,0.1377
2026-09-07,tu-braunschweig,2018,1185,413,0.3485,141,0.119
2026-09-07,tu-braunschweig,2017,1083,317,0.2927,110,0.1016
2026-09-07,tu-braunschweig,2016,1037,324,0.3124,88,0.0849
2026-09-07,tu-braunschweig,2015,850,239,0.2812,72,0.0847
2026-09-07,tu-braunschweig,2014,928,220,0.2371,67,0.0722
2026-09-07,tu-braunschweig,2013,1157,176,0.1521,63,0.0545
