snapshot_date,tu9_slug,university_name,n_members,year,ca_works,ca_oa_works,ca_oa_share
2026-07-20,tu-braunschweig,Technische Universität Braunschweig,1,2026,749,594,0.7931
2026-07-20,tu-braunschweig,Technische Universität Braunschweig,1,2025,1211,860,0.7102
2026-07-20,tu-braunschweig,Technische Universität Braunschweig,1,2024,1241,842,0.6785
2026-07-20,tu-braunschweig,Technische Universität Braunschweig,1,2023,1334,897,0.6724
2026-07-20,tu-braunschweig,Technische Universität Braunschweig,1,2022,1325,836,0.6309
2026-07-20,tu-braunschweig,Technische Universität Braunschweig,1,2021,1218,799,0.656
2026-07-20,tu-braunschweig,Technische Universität Braunschweig,1,2020,1216,702,0.5773
2026-07-20,tu-braunschweig,Technische Universität Braunschweig,1,2019,1070,459,0.429
2026-07-20,tu-braunschweig,Technische Universität Braunschweig,1,2018,1162,401,0.3451
2026-07-20,tu-braunschweig,Technische Universität Braunschweig,1,2017,1060,307,0.2896
2026-07-20,tu-braunschweig,Technische Universität Braunschweig,1,2016,1013,315,0.311
2026-07-20,tu-braunschweig,Technische Universität Braunschweig,1,2015,819,238,0.2906
2026-07-20,tu-braunschweig,Technische Universität Braunschweig,1,2014,873,221,0.2532
2026-07-20,tu-braunschweig,Technische Universität Braunschweig,1,2013,1115,162,0.1453
