snapshot_date,slug,year,works_count,works_count_incl_xpac,works_count_lineage_incl_xpac,cited_by_count
2026-07-23,tu-braunschweig,2026,1769,1767,1912,355
2026-07-23,tu-braunschweig,2025,2606,3315,3545,4888
2026-07-23,tu-braunschweig,2024,2411,3102,3277,12726
2026-07-23,tu-braunschweig,2023,2490,2996,3184,21676
2026-07-23,tu-braunschweig,2022,2575,2941,3082,32468
2026-07-23,tu-braunschweig,2021,2424,2742,2934,38970
2026-07-23,tu-braunschweig,2020,2367,2567,2765,86491
2026-07-23,tu-braunschweig,2019,2119,2215,2336,56724
2026-07-23,tu-braunschweig,2018,2158,2322,2420,50560
2026-07-23,tu-braunschweig,2017,1997,2030,2134,50859
2026-07-23,tu-braunschweig,2016,1951,1983,2084,55792
2026-07-23,tu-braunschweig,2015,1696,1736,1815,50660
2026-07-23,tu-braunschweig,2014,1822,1837,1938,53263
2026-07-23,tu-braunschweig,2013,1895,1899,1992,40767
2026-07-23,tu-braunschweig,2012,1576,1614,1713,53369
2026-07-23,tu-braunschweig,2011,1613,1619,1728,48375
2026-07-23,tu-braunschweig,2010,1631,1652,1853,45997
