snapshot_date,tu9_slug,university_name,n_members,year,ca_works,ca_oa_works,ca_oa_share
2026-08-03,tu-braunschweig,Technische Universität Braunschweig,4,2026,880,710,0.8068
2026-08-03,tu-braunschweig,Technische Universität Braunschweig,4,2025,1324,952,0.719
2026-08-03,tu-braunschweig,Technische Universität Braunschweig,4,2024,1299,885,0.6813
2026-08-03,tu-braunschweig,Technische Universität Braunschweig,4,2023,1400,931,0.665
2026-08-03,tu-braunschweig,Technische Universität Braunschweig,4,2022,1377,880,0.6391
2026-08-03,tu-braunschweig,Technische Universität Braunschweig,4,2021,1260,847,0.6722
2026-08-03,tu-braunschweig,Technische Universität Braunschweig,4,2020,1258,738,0.5866
2026-08-03,tu-braunschweig,Technische Universität Braunschweig,4,2019,1112,480,0.4317
2026-08-03,tu-braunschweig,Technische Universität Braunschweig,4,2018,1211,427,0.3526
2026-08-03,tu-braunschweig,Technische Universität Braunschweig,4,2017,1103,342,0.3101
2026-08-03,tu-braunschweig,Technische Universität Braunschweig,4,2016,1063,334,0.3142
2026-08-03,tu-braunschweig,Technische Universität Braunschweig,4,2015,863,254,0.2943
2026-08-03,tu-braunschweig,Technische Universität Braunschweig,4,2014,908,235,0.2588
2026-08-03,tu-braunschweig,Technische Universität Braunschweig,4,2013,1148,176,0.1533
