snapshot_date,tu9_slug,university_name,n_members,year,ca_works,ca_oa_works,ca_oa_share
2026-08-03,tu-braunschweig,Technische Universität Braunschweig,1,2026,433,374,0.8637
2026-08-03,tu-braunschweig,Technische Universität Braunschweig,1,2025,735,640,0.8707
2026-08-03,tu-braunschweig,Technische Universität Braunschweig,1,2024,717,604,0.8424
2026-08-03,tu-braunschweig,Technische Universität Braunschweig,1,2023,764,604,0.7906
2026-08-03,tu-braunschweig,Technische Universität Braunschweig,1,2022,767,574,0.7484
2026-08-03,tu-braunschweig,Technische Universität Braunschweig,1,2021,853,617,0.7233
2026-08-03,tu-braunschweig,Technische Universität Braunschweig,1,2020,800,551,0.6888
2026-08-03,tu-braunschweig,Technische Universität Braunschweig,1,2019,729,358,0.4911
2026-08-03,tu-braunschweig,Technische Universität Braunschweig,1,2018,711,311,0.4374
2026-08-03,tu-braunschweig,Technische Universität Braunschweig,1,2017,725,242,0.3338
2026-08-03,tu-braunschweig,Technische Universität Braunschweig,1,2016,647,267,0.4127
2026-08-03,tu-braunschweig,Technische Universität Braunschweig,1,2015,533,203,0.3809
2026-08-03,tu-braunschweig,Technische Universität Braunschweig,1,2014,569,197,0.3462
2026-08-03,tu-braunschweig,Technische Universität Braunschweig,1,2013,529,135,0.2552
