snapshot_date,tu9_slug,university_name,n_members,year,ca_works,ca_oa_works,ca_oa_share
2026-09-07,tu-braunschweig,Technische Universität Braunschweig,1,2026,485,419,0.8639
2026-09-07,tu-braunschweig,Technische Universität Braunschweig,1,2025,738,639,0.8659
2026-09-07,tu-braunschweig,Technische Universität Braunschweig,1,2024,702,590,0.8405
2026-09-07,tu-braunschweig,Technische Universität Braunschweig,1,2023,766,607,0.7924
2026-09-07,tu-braunschweig,Technische Universität Braunschweig,1,2022,773,574,0.7426
2026-09-07,tu-braunschweig,Technische Universität Braunschweig,1,2021,875,620,0.7086
2026-09-07,tu-braunschweig,Technische Universität Braunschweig,1,2020,812,553,0.681
2026-09-07,tu-braunschweig,Technische Universität Braunschweig,1,2019,743,369,0.4966
2026-09-07,tu-braunschweig,Technische Universität Braunschweig,1,2018,722,314,0.4349
2026-09-07,tu-braunschweig,Technische Universität Braunschweig,1,2017,737,240,0.3256
2026-09-07,tu-braunschweig,Technische Universität Braunschweig,1,2016,664,276,0.4157
2026-09-07,tu-braunschweig,Technische Universität Braunschweig,1,2015,545,198,0.3633
2026-09-07,tu-braunschweig,Technische Universität Braunschweig,1,2014,573,191,0.3333
2026-09-07,tu-braunschweig,Technische Universität Braunschweig,1,2013,540,140,0.2593
