snapshot_date,slug,year,ca_works,ca_oa_works,ca_oa_share,ca_doaj_works,ca_doaj_share
2026-07-20,tu-darmstadt,2026,1007,790,0.7845,131,0.1301
2026-07-20,tu-darmstadt,2025,1752,1103,0.6296,266,0.1518
2026-07-20,tu-darmstadt,2024,1747,1084,0.6205,257,0.1471
2026-07-20,tu-darmstadt,2023,1796,1129,0.6286,263,0.1464
2026-07-20,tu-darmstadt,2022,1858,1103,0.5936,259,0.1394
2026-07-20,tu-darmstadt,2021,1870,1045,0.5588,257,0.1374
2026-07-20,tu-darmstadt,2020,1782,990,0.5556,232,0.1302
2026-07-20,tu-darmstadt,2019,1604,665,0.4146,166,0.1035
2026-07-20,tu-darmstadt,2018,1665,549,0.3297,156,0.0937
2026-07-20,tu-darmstadt,2017,1669,478,0.2864,117,0.0701
2026-07-20,tu-darmstadt,2016,1599,424,0.2652,105,0.0657
2026-07-20,tu-darmstadt,2015,1440,358,0.2486,75,0.0521
2026-07-20,tu-darmstadt,2014,1393,314,0.2254,68,0.0488
2026-07-20,tu-darmstadt,2013,1315,276,0.2099,66,0.0502
