snapshot_date,tu9_slug,university_name,n_members,year,ca_works,ca_oa_works,ca_oa_share
2026-07-23,tu-darmstadt,Technische Universität Darmstadt,3,2026,1022,805,0.7877
2026-07-23,tu-darmstadt,Technische Universität Darmstadt,3,2025,1753,1103,0.6292
2026-07-23,tu-darmstadt,Technische Universität Darmstadt,3,2024,1748,1084,0.6201
2026-07-23,tu-darmstadt,Technische Universität Darmstadt,3,2023,1797,1129,0.6283
2026-07-23,tu-darmstadt,Technische Universität Darmstadt,3,2022,1857,1101,0.5929
2026-07-23,tu-darmstadt,Technische Universität Darmstadt,3,2021,1871,1046,0.5591
2026-07-23,tu-darmstadt,Technische Universität Darmstadt,3,2020,1784,992,0.5561
2026-07-23,tu-darmstadt,Technische Universität Darmstadt,3,2019,1603,664,0.4142
2026-07-23,tu-darmstadt,Technische Universität Darmstadt,3,2018,1665,549,0.3297
2026-07-23,tu-darmstadt,Technische Universität Darmstadt,3,2017,1676,482,0.2876
2026-07-23,tu-darmstadt,Technische Universität Darmstadt,3,2016,1600,423,0.2644
2026-07-23,tu-darmstadt,Technische Universität Darmstadt,3,2015,1444,359,0.2486
2026-07-23,tu-darmstadt,Technische Universität Darmstadt,3,2014,1398,315,0.2253
2026-07-23,tu-darmstadt,Technische Universität Darmstadt,3,2013,1316,277,0.2105
