snapshot_date,slug,year,works_count,works_count_incl_xpac,works_count_lineage_incl_xpac,cited_by_count
2026-08-10,tu-darmstadt,2026,2686,2687,2721,714
2026-08-10,tu-darmstadt,2025,3602,4417,4431,8957
2026-08-10,tu-darmstadt,2024,3544,4361,4374,23304
2026-08-10,tu-darmstadt,2023,3751,4330,4344,35763
2026-08-10,tu-darmstadt,2022,3589,4036,4045,49394
2026-08-10,tu-darmstadt,2021,3691,4127,4131,59298
2026-08-10,tu-darmstadt,2020,3630,3900,3905,67158
2026-08-10,tu-darmstadt,2019,3355,3510,3517,88244
2026-08-10,tu-darmstadt,2018,3310,3401,3402,82504
2026-08-10,tu-darmstadt,2017,3268,3356,3356,77567
2026-08-10,tu-darmstadt,2016,3272,3333,3335,95090
2026-08-10,tu-darmstadt,2015,3078,3112,3112,76814
2026-08-10,tu-darmstadt,2014,3097,3137,3137,79706
2026-08-10,tu-darmstadt,2013,2844,2876,2876,85981
2026-08-10,tu-darmstadt,2012,2887,2909,2909,80152
2026-08-10,tu-darmstadt,2011,2611,2631,2630,77147
2026-08-10,tu-darmstadt,2010,2544,2556,2557,82465
