snapshot_date,tu9_slug,university_name,n_members,year,ca_works,ca_oa_works,ca_oa_share
2026-08-24,tu-darmstadt,Technische Universität Darmstadt,4,2026,1284,1026,0.7991
2026-08-24,tu-darmstadt,Technische Universität Darmstadt,4,2025,1816,1162,0.6399
2026-08-24,tu-darmstadt,Technische Universität Darmstadt,4,2024,1788,1097,0.6135
2026-08-24,tu-darmstadt,Technische Universität Darmstadt,4,2023,1856,1198,0.6455
2026-08-24,tu-darmstadt,Technische Universität Darmstadt,4,2022,1939,1141,0.5884
2026-08-24,tu-darmstadt,Technische Universität Darmstadt,4,2021,1992,1108,0.5562
2026-08-24,tu-darmstadt,Technische Universität Darmstadt,4,2020,1855,1058,0.5704
2026-08-24,tu-darmstadt,Technische Universität Darmstadt,4,2019,1663,720,0.433
2026-08-24,tu-darmstadt,Technische Universität Darmstadt,4,2018,1732,565,0.3262
2026-08-24,tu-darmstadt,Technische Universität Darmstadt,4,2017,1734,505,0.2912
2026-08-24,tu-darmstadt,Technische Universität Darmstadt,4,2016,1655,452,0.2731
2026-08-24,tu-darmstadt,Technische Universität Darmstadt,4,2015,1516,379,0.25
2026-08-24,tu-darmstadt,Technische Universität Darmstadt,4,2014,1456,327,0.2246
2026-08-24,tu-darmstadt,Technische Universität Darmstadt,4,2013,1368,289,0.2113
