snapshot_date,tu9_slug,university_name,n_members,year,ca_works,ca_oa_works,ca_oa_share
2026-07-21,tu-darmstadt,Technische Universität Darmstadt,3,2026,520,398,0.7654
2026-07-21,tu-darmstadt,Technische Universität Darmstadt,3,2025,1078,819,0.7597
2026-07-21,tu-darmstadt,Technische Universität Darmstadt,3,2024,1079,838,0.7766
2026-07-21,tu-darmstadt,Technische Universität Darmstadt,3,2023,1129,774,0.6856
2026-07-21,tu-darmstadt,Technische Universität Darmstadt,3,2022,1161,791,0.6813
2026-07-21,tu-darmstadt,Technische Universität Darmstadt,3,2021,1234,789,0.6394
2026-07-21,tu-darmstadt,Technische Universität Darmstadt,3,2020,1196,754,0.6304
2026-07-21,tu-darmstadt,Technische Universität Darmstadt,3,2019,1040,485,0.4663
2026-07-21,tu-darmstadt,Technische Universität Darmstadt,3,2018,1071,400,0.3735
2026-07-21,tu-darmstadt,Technische Universität Darmstadt,3,2017,1006,360,0.3579
2026-07-21,tu-darmstadt,Technische Universität Darmstadt,3,2016,967,313,0.3237
2026-07-21,tu-darmstadt,Technische Universität Darmstadt,3,2015,887,273,0.3078
2026-07-21,tu-darmstadt,Technische Universität Darmstadt,3,2014,835,238,0.285
2026-07-21,tu-darmstadt,Technische Universität Darmstadt,3,2013,782,192,0.2455
