snapshot_date,slug,name,openalex_id,ror_id,works_count,works_count_incl_xpac,works_count_lineage_incl_xpac,cited_by_count,h_index,i10_index,two_yr_mean_citedness,ref_year,ca_works_ref,ca_oa_works_ref,ca_oa_share_ref,ca_doaj_works_ref,ca_doaj_share_ref,period_start,period_end,ca_works_period,ca_oa_works_period,ca_oa_share_period
2026-07-18,tu-darmstadt,Technische Universität Darmstadt,I31512782,05n911h24,75746,80115,80170,3988591,491,70458,2.98350643793519,2025,1752,1103,0.6296,266,0.1518,2020,2025,10805,6455,0.5974
2026-07-20,tu-darmstadt,Technische Universität Darmstadt,I31512782,05n911h24,75756,80138,80184,3990044,491,70476,2.98819600838705,2025,1752,1103,0.6296,266,0.1518,2020,2025,10807,6455,0.5973
2026-07-21,tu-darmstadt,Technische Universität Darmstadt,I31512782,05n911h24,75756,80138,80184,3990044,491,70476,2.98819600838705,2025,1752,1103,0.6296,266,0.1518,2020,2025,10807,6455,0.5973
2026-07-23,tu-darmstadt,Technische Universität Darmstadt,I31512782,05n911h24,75843,80210,80276,3995566,491,70570,3.00542173340562,2025,1752,1103,0.6296,266,0.1518,2020,2025,10806,6455,0.5974
2026-07-27,tu-darmstadt,Technische Universität Darmstadt,I31512782,05n911h24,75879,80258,80330,3998807,491,70595,3.01662103274074,2025,1752,1103,0.6296,266,0.1518,2020,2025,10806,6455,0.5974
2026-08-03,tu-darmstadt,Technische Universität Darmstadt,I31512782,05n911h24,76125,80510,80607,4014576,493,70770,3.03433934907856,2025,1789,1141,0.6378,274,0.1532,2020,2025,10961,6624,0.6043
2026-08-10,tu-darmstadt,Technische Universität Darmstadt,I31512782,05n911h24,76307,80705,80808,4024088,495,70933,3.05749207786329,2025,1807,1160,0.6419,274,0.1516,2020,2025,11206,6720,0.5997
2026-08-17,tu-darmstadt,Technische Universität Darmstadt,I31512782,05n911h24,76382,80742,80873,4035762,495,71051,3.11673224658048,2025,1808,1160,0.6416,277,0.1532,2020,2025,11203,6719,0.5998
2026-08-24,tu-darmstadt,Technische Universität Darmstadt,I31512782,05n911h24,77150,81844,82030,4046630,496,71207,3.01368194842407,2025,1814,1161,0.64,277,0.1527,2020,2025,11235,6758,0.6015
2026-08-31,tu-darmstadt,Technische Universität Darmstadt,I31512782,05n911h24,77197,81936,82129,4053094,497,71272,3.03822695035461,2025,1816,1162,0.6399,278,0.1531,2020,2025,11241,6757,0.6011
2026-09-07,tu-darmstadt,Technische Universität Darmstadt,I31512782,05n911h24,77380,82171,82327,4062052,499,71375,3.0596972995751,2025,1815,1161,0.6397,278,0.1532,2020,2025,11251,6765,0.6013
