snapshot_date,slug,year,ca_works,ca_oa_works,ca_oa_share,ca_doaj_works,ca_doaj_share
2026-07-20,tu-dresden,2026,1413,1183,0.8372,237,0.1677
2026-07-20,tu-dresden,2025,2492,1903,0.7636,543,0.2179
2026-07-20,tu-dresden,2024,2741,2065,0.7534,622,0.2269
2026-07-20,tu-dresden,2023,3247,2278,0.7016,636,0.1959
2026-07-20,tu-dresden,2022,3186,2069,0.6494,720,0.226
2026-07-20,tu-dresden,2021,3207,2196,0.6848,703,0.2192
2026-07-20,tu-dresden,2020,2975,1830,0.6151,589,0.198
2026-07-20,tu-dresden,2019,2646,1262,0.4769,460,0.1738
2026-07-20,tu-dresden,2018,2504,1029,0.4109,409,0.1633
2026-07-20,tu-dresden,2017,2513,931,0.3705,350,0.1393
2026-07-20,tu-dresden,2016,2316,861,0.3718,330,0.1425
2026-07-20,tu-dresden,2015,2228,720,0.3232,231,0.1037
2026-07-20,tu-dresden,2014,2194,588,0.268,214,0.0975
2026-07-20,tu-dresden,2013,1903,484,0.2543,175,0.092
