snapshot_date,tu9_slug,university_name,n_members,year,ca_works,ca_oa_works,ca_oa_share
2026-07-21,tu-dresden,Technische Universität Dresden,16,2026,1833,1504,0.8205
2026-07-21,tu-dresden,Technische Universität Dresden,16,2025,3122,2320,0.7431
2026-07-21,tu-dresden,Technische Universität Dresden,16,2024,3240,2326,0.7179
2026-07-21,tu-dresden,Technische Universität Dresden,16,2023,3653,2498,0.6838
2026-07-21,tu-dresden,Technische Universität Dresden,16,2022,3564,2274,0.638
2026-07-21,tu-dresden,Technische Universität Dresden,16,2021,3562,2423,0.6802
2026-07-21,tu-dresden,Technische Universität Dresden,16,2020,3334,2007,0.602
2026-07-21,tu-dresden,Technische Universität Dresden,16,2019,3026,1423,0.4703
2026-07-21,tu-dresden,Technische Universität Dresden,16,2018,2837,1173,0.4135
2026-07-21,tu-dresden,Technische Universität Dresden,16,2017,2809,1037,0.3692
2026-07-21,tu-dresden,Technische Universität Dresden,16,2016,2657,957,0.3602
2026-07-21,tu-dresden,Technische Universität Dresden,16,2015,2574,808,0.3139
2026-07-21,tu-dresden,Technische Universität Dresden,16,2014,2564,667,0.2601
2026-07-21,tu-dresden,Technische Universität Dresden,16,2013,2236,571,0.2554
