snapshot_date,slug,year,works_count,works_count_incl_xpac,works_count_lineage_incl_xpac,cited_by_count
2026-07-23,tu-dresden,2026,4395,4356,5124,1337
2026-07-23,tu-dresden,2025,6606,8294,9553,19734
2026-07-23,tu-dresden,2024,6713,8717,9735,51385
2026-07-23,tu-dresden,2023,7306,8363,9130,81712
2026-07-23,tu-dresden,2022,7151,8333,8930,123493
2026-07-23,tu-dresden,2021,7177,8368,8844,163716
2026-07-23,tu-dresden,2020,6775,7370,7793,217221
2026-07-23,tu-dresden,2019,6024,6292,6674,197052
2026-07-23,tu-dresden,2018,5639,5921,6210,204772
2026-07-23,tu-dresden,2017,5457,5650,5894,203400
2026-07-23,tu-dresden,2016,5190,5509,5725,213768
2026-07-23,tu-dresden,2015,5082,5342,5566,204244
2026-07-23,tu-dresden,2014,5106,5243,5499,194737
2026-07-23,tu-dresden,2013,4619,4713,4956,169694
2026-07-23,tu-dresden,2012,4029,4104,4334,172217
2026-07-23,tu-dresden,2011,3527,3549,3777,145372
2026-07-23,tu-dresden,2010,3252,3263,3490,142167
