snapshot_date,tu9_slug,university_name,n_members,year,ca_works,ca_oa_works,ca_oa_share
2026-08-17,tu-dresden,Technische Universität Dresden,29,2026,2019,1665,0.8247
2026-08-17,tu-dresden,Technische Universität Dresden,29,2025,2995,2270,0.7579
2026-08-17,tu-dresden,Technische Universität Dresden,29,2024,3097,2311,0.7462
2026-08-17,tu-dresden,Technische Universität Dresden,29,2023,3577,2516,0.7034
2026-08-17,tu-dresden,Technische Universität Dresden,29,2022,3556,2331,0.6555
2026-08-17,tu-dresden,Technische Universität Dresden,29,2021,3525,2416,0.6854
2026-08-17,tu-dresden,Technische Universität Dresden,29,2020,3286,2020,0.6147
2026-08-17,tu-dresden,Technische Universität Dresden,29,2019,2873,1377,0.4793
2026-08-17,tu-dresden,Technische Universität Dresden,29,2018,2729,1140,0.4177
2026-08-17,tu-dresden,Technische Universität Dresden,29,2017,2731,1033,0.3782
2026-08-17,tu-dresden,Technische Universität Dresden,29,2016,2499,952,0.381
2026-08-17,tu-dresden,Technische Universität Dresden,29,2015,2465,822,0.3335
2026-08-17,tu-dresden,Technische Universität Dresden,29,2014,2442,680,0.2785
2026-08-17,tu-dresden,Technische Universität Dresden,29,2013,2146,551,0.2568
