snapshot_date,tu9_slug,university_name,n_members,year,ca_works,ca_oa_works,ca_oa_share
2026-08-10,tu-dresden,Technische Universität Dresden,16,2026,1217,1015,0.834
2026-08-10,tu-dresden,Technische Universität Dresden,16,2025,2191,1814,0.8279
2026-08-10,tu-dresden,Technische Universität Dresden,16,2024,2201,1794,0.8151
2026-08-10,tu-dresden,Technische Universität Dresden,16,2023,2464,1819,0.7382
2026-08-10,tu-dresden,Technische Universität Dresden,16,2022,2501,1792,0.7165
2026-08-10,tu-dresden,Technische Universität Dresden,16,2021,2664,1972,0.7402
2026-08-10,tu-dresden,Technische Universität Dresden,16,2020,2500,1689,0.6756
2026-08-10,tu-dresden,Technische Universität Dresden,16,2019,2226,1172,0.5265
2026-08-10,tu-dresden,Technische Universität Dresden,16,2018,2081,953,0.458
2026-08-10,tu-dresden,Technische Universität Dresden,16,2017,2214,918,0.4146
2026-08-10,tu-dresden,Technische Universität Dresden,16,2016,2073,883,0.426
2026-08-10,tu-dresden,Technische Universität Dresden,16,2015,1917,737,0.3845
2026-08-10,tu-dresden,Technische Universität Dresden,16,2014,1827,617,0.3377
2026-08-10,tu-dresden,Technische Universität Dresden,16,2013,1618,518,0.3201
