snapshot_date,tu9_slug,university_name,n_members,year,ca_works,ca_oa_works,ca_oa_share
2026-08-10,tu-dresden,Technische Universität Dresden,16,2026,1216,1014,0.8339
2026-08-10,tu-dresden,Technische Universität Dresden,16,2025,2190,1813,0.8279
2026-08-10,tu-dresden,Technische Universität Dresden,16,2024,2198,1791,0.8148
2026-08-10,tu-dresden,Technische Universität Dresden,16,2023,2461,1816,0.7379
2026-08-10,tu-dresden,Technische Universität Dresden,16,2022,2497,1788,0.7161
2026-08-10,tu-dresden,Technische Universität Dresden,16,2021,2651,1959,0.739
2026-08-10,tu-dresden,Technische Universität Dresden,16,2020,2496,1685,0.6751
2026-08-10,tu-dresden,Technische Universität Dresden,16,2019,2220,1166,0.5252
2026-08-10,tu-dresden,Technische Universität Dresden,16,2018,2078,951,0.4577
2026-08-10,tu-dresden,Technische Universität Dresden,16,2017,2213,917,0.4144
2026-08-10,tu-dresden,Technische Universität Dresden,16,2016,2073,883,0.426
2026-08-10,tu-dresden,Technische Universität Dresden,16,2015,1913,736,0.3847
2026-08-10,tu-dresden,Technische Universität Dresden,16,2014,1816,614,0.3381
2026-08-10,tu-dresden,Technische Universität Dresden,16,2013,1609,513,0.3188
