snapshot_date,slug,name,openalex_id,ror_id,works_count,works_count_incl_xpac,works_count_lineage_incl_xpac,cited_by_count,h_index,i10_index,two_yr_mean_citedness,ref_year,ca_works_ref,ca_oa_works_ref,ca_oa_share_ref,ca_doaj_works_ref,ca_doaj_share_ref,period_start,period_end,ca_works_period,ca_oa_works_period,ca_oa_share_period
2026-07-18,tu-dresden,Technische Universität Dresden,I78650965,042aqky30,129281,139032,148325,10151009,767,146710,3.59341640319881,2025,2492,1903,0.7636,543,0.2179,2020,2025,17848,12340,0.6914
2026-07-20,tu-dresden,Technische Universität Dresden,I78650965,042aqky30,129294,139072,148339,10154484,767,146764,3.59937271495648,2025,2492,1903,0.7636,543,0.2179,2020,2025,17844,12337,0.6914
2026-07-21,tu-dresden,Technische Universität Dresden,I78650965,042aqky30,129294,139072,148339,10154484,767,146764,3.59937271495648,2025,2492,1903,0.7636,543,0.2179,2020,2025,17844,12337,0.6914
2026-07-23,tu-dresden,Technische Universität Dresden,I78650965,042aqky30,129479,139239,148611,10173637,769,147050,3.61154301791796,2025,2493,1903,0.7633,545,0.2186,2020,2025,17846,12338,0.6914
2026-07-27,tu-dresden,Technische Universität Dresden,I78650965,042aqky30,129531,139307,148672,10182067,769,147118,3.62890307817229,2025,2493,1903,0.7633,545,0.2186,2020,2025,17850,12340,0.6913
2026-08-03,tu-dresden,Technische Universität Dresden,I78650965,042aqky30,130732,140537,150286,10249994,768,148344,3.63068550421682,2025,2617,2001,0.7646,569,0.2174,2020,2025,18343,12745,0.6948
2026-08-10,tu-dresden,Technische Universität Dresden,I78650965,042aqky30,131092,140952,150781,10291997,769,148910,3.66079759755465,2025,2654,2024,0.7626,569,0.2144,2020,2025,18657,12887,0.6907
2026-08-17,tu-dresden,Technische Universität Dresden,I78650965,042aqky30,131249,141088,151053,10404630,775,149378,3.71808595764354,2025,2653,2023,0.7625,578,0.2179,2020,2025,18676,12907,0.6911
2026-08-24,tu-dresden,Technische Universität Dresden,I78650965,042aqky30,132324,142548,150402,10436950,777,149773,3.67100288699478,2025,2741,2102,0.7669,598,0.2182,2020,2025,18870,13054,0.6918
2026-08-31,tu-dresden,Technische Universität Dresden,I78650965,042aqky30,132460,142858,150961,10454128,777,150033,3.70574411198719,2025,2745,2105,0.7668,600,0.2186,2020,2025,18865,13051,0.6918
