snapshot_date,tu9_slug,university_name,n_members,year,ca_works,ca_oa_works,ca_oa_share
2026-08-17,tu-munich,Technical University of Munich,4,2026,4264,3673,0.8614
2026-08-17,tu-munich,Technical University of Munich,4,2025,5562,4470,0.8037
2026-08-17,tu-munich,Technical University of Munich,4,2024,5327,4124,0.7742
2026-08-17,tu-munich,Technical University of Munich,4,2023,5786,4068,0.7031
2026-08-17,tu-munich,Technical University of Munich,4,2022,5676,3807,0.6707
2026-08-17,tu-munich,Technical University of Munich,4,2021,5406,3704,0.6852
2026-08-17,tu-munich,Technical University of Munich,4,2020,4972,3421,0.6881
2026-08-17,tu-munich,Technical University of Munich,4,2019,5104,3018,0.5913
2026-08-17,tu-munich,Technical University of Munich,4,2018,4515,2386,0.5285
2026-08-17,tu-munich,Technical University of Munich,4,2017,4539,2037,0.4488
2026-08-17,tu-munich,Technical University of Munich,4,2016,4026,1746,0.4337
2026-08-17,tu-munich,Technical University of Munich,4,2015,3675,1406,0.3826
2026-08-17,tu-munich,Technical University of Munich,4,2014,3304,1156,0.3499
2026-08-17,tu-munich,Technical University of Munich,4,2013,3355,1054,0.3142
