snapshot_date,slug,year,works_count,works_count_incl_xpac,works_count_lineage_incl_xpac,cited_by_count
2026-07-21,tu-munich,2026,9531,9523,10721,2023
2026-07-21,tu-munich,2025,11933,14403,16175,38652
2026-07-21,tu-munich,2024,11786,15059,16518,105350
2026-07-21,tu-munich,2023,12628,14245,15582,168758
2026-07-21,tu-munich,2022,11615,12666,14016,217409
2026-07-21,tu-munich,2021,11347,12581,13861,277694
2026-07-21,tu-munich,2020,10526,11380,12562,358904
2026-07-21,tu-munich,2019,10823,11127,12439,345260
2026-07-21,tu-munich,2018,8777,9009,10231,377021
2026-07-21,tu-munich,2017,8525,8703,9973,369609
2026-07-21,tu-munich,2016,7922,8079,9256,356223
2026-07-21,tu-munich,2015,7232,7338,8458,318219
2026-07-21,tu-munich,2014,7027,7108,8081,284938
2026-07-21,tu-munich,2013,6632,6654,7543,273203
2026-07-21,tu-munich,2012,5832,5859,6679,282442
2026-07-21,tu-munich,2011,5689,5725,6482,276964
2026-07-21,tu-munich,2010,5376,5401,6161,258912
