snapshot_date,tu9_slug,university_name,n_members,year,ca_works,ca_oa_works,ca_oa_share
2026-07-27,tu-munich,Technical University of Munich,9,2026,3852,3318,0.8614
2026-07-27,tu-munich,Technical University of Munich,9,2025,5409,4330,0.8005
2026-07-27,tu-munich,Technical University of Munich,9,2024,5318,4130,0.7766
2026-07-27,tu-munich,Technical University of Munich,9,2023,5837,4126,0.7069
2026-07-27,tu-munich,Technical University of Munich,9,2022,5581,3751,0.6721
2026-07-27,tu-munich,Technical University of Munich,9,2021,5230,3675,0.7027
2026-07-27,tu-munich,Technical University of Munich,9,2020,4892,3403,0.6956
2026-07-27,tu-munich,Technical University of Munich,9,2019,5086,3042,0.5981
2026-07-27,tu-munich,Technical University of Munich,9,2018,4525,2387,0.5275
2026-07-27,tu-munich,Technical University of Munich,9,2017,4559,2041,0.4477
2026-07-27,tu-munich,Technical University of Munich,9,2016,4011,1747,0.4356
2026-07-27,tu-munich,Technical University of Munich,9,2015,3642,1382,0.3795
2026-07-27,tu-munich,Technical University of Munich,9,2014,3276,1149,0.3507
2026-07-27,tu-munich,Technical University of Munich,9,2013,3324,1053,0.3168
