snapshot_date,tu9_slug,university_name,n_members,year,ca_works,ca_oa_works,ca_oa_share
2026-08-10,tu-munich,Technical University of Munich,4,2026,2157,1825,0.8461
2026-08-10,tu-munich,Technical University of Munich,4,2025,3617,3085,0.8529
2026-08-10,tu-munich,Technical University of Munich,4,2024,3731,3189,0.8547
2026-08-10,tu-munich,Technical University of Munich,4,2023,3856,2810,0.7287
2026-08-10,tu-munich,Technical University of Munich,4,2022,3909,2860,0.7316
2026-08-10,tu-munich,Technical University of Munich,4,2021,4077,2938,0.7206
2026-08-10,tu-munich,Technical University of Munich,4,2020,3731,2675,0.717
2026-08-10,tu-munich,Technical University of Munich,4,2019,3494,2194,0.6279
2026-08-10,tu-munich,Technical University of Munich,4,2018,3409,1943,0.57
2026-08-10,tu-munich,Technical University of Munich,4,2017,3239,1727,0.5332
2026-08-10,tu-munich,Technical University of Munich,4,2016,3057,1455,0.476
2026-08-10,tu-munich,Technical University of Munich,4,2015,2695,1176,0.4364
2026-08-10,tu-munich,Technical University of Munich,4,2014,2456,960,0.3909
2026-08-10,tu-munich,Technical University of Munich,4,2013,2313,861,0.3722
