snapshot_date,tu9_slug,university_name,n_members,year,ca_works,ca_oa_works,ca_oa_share
2026-07-18,tu-munich,Technical University of Munich,4,2026,1885,1580,0.8382
2026-07-18,tu-munich,Technical University of Munich,4,2025,3415,2918,0.8545
2026-07-18,tu-munich,Technical University of Munich,4,2024,3650,3134,0.8586
2026-07-18,tu-munich,Technical University of Munich,4,2023,3792,2780,0.7331
2026-07-18,tu-munich,Technical University of Munich,4,2022,3760,2749,0.7311
2026-07-18,tu-munich,Technical University of Munich,4,2021,3865,2802,0.725
2026-07-18,tu-munich,Technical University of Munich,4,2020,3546,2543,0.7171
2026-07-18,tu-munich,Technical University of Munich,4,2019,3342,2103,0.6293
2026-07-18,tu-munich,Technical University of Munich,4,2018,3277,1841,0.5618
2026-07-18,tu-munich,Technical University of Munich,4,2017,3099,1636,0.5279
2026-07-18,tu-munich,Technical University of Munich,4,2016,2918,1365,0.4678
2026-07-18,tu-munich,Technical University of Munich,4,2015,2539,1060,0.4175
2026-07-18,tu-munich,Technical University of Munich,4,2014,2319,889,0.3834
2026-07-18,tu-munich,Technical University of Munich,4,2013,2185,791,0.362
