snapshot_date,slug,name,openalex_id,ror_id,works_count,works_count_incl_xpac,works_count_lineage_incl_xpac,cited_by_count,h_index,i10_index,two_yr_mean_citedness,ref_year,ca_works_ref,ca_oa_works_ref,ca_oa_share_ref,ca_doaj_works_ref,ca_doaj_share_ref,period_start,period_end,ca_works_period,ca_oa_works_period,ca_oa_share_period
2026-07-18,tu-munich,Technical University of Munich,I62916508,02kkvpp62,215174,227413,255033,18812377,1021,261496,3.90902897408197,2025,4868,3929,0.8071,922,0.1894,2020,2025,29525,21467,0.7271
2026-07-20,tu-munich,Technical University of Munich,I62916508,02kkvpp62,215211,227502,255082,18820280,1021,261578,3.91723983834616,2025,4867,3928,0.8071,922,0.1894,2020,2025,29521,21464,0.7271
2026-07-21,tu-munich,Technical University of Munich,I62916508,02kkvpp62,215211,227502,255082,18820280,1021,261578,3.91723983834616,2025,4867,3928,0.8071,922,0.1894,2020,2025,29521,21464,0.7271
2026-07-23,tu-munich,Technical University of Munich,I62916508,02kkvpp62,215586,227807,255606,18865071,1022,262121,3.93504164121656,2025,4869,3930,0.8071,923,0.1896,2020,2025,29546,21473,0.7268
2026-07-27,tu-munich,Technical University of Munich,I62916508,02kkvpp62,215739,228019,255809,18883329,1022,262352,3.95158815183716,2025,4869,3930,0.8071,922,0.1894,2020,2025,29545,21474,0.7268
2026-08-03,tu-munich,Technical University of Munich,I62916508,02kkvpp62,216270,228586,256466,18931218,1022,262941,3.98862428542702,2025,5040,4083,0.8101,980,0.1944,2020,2025,30060,21937,0.7298
2026-08-10,tu-munich,Technical University of Munich,I62916508,02kkvpp62,216736,229066,257051,18991545,1022,263861,4.01146934410871,2025,5120,4140,0.8086,984,0.1922,2020,2025,30620,22191,0.7247
2026-08-17,tu-munich,Technical University of Munich,I62916508,02kkvpp62,217048,229299,257385,19046019,1024,264464,4.0900364211299,2025,5118,4136,0.8081,986,0.1927,2020,2025,30624,22193,0.7247
2026-08-24,tu-munich,Technical University of Munich,I62916508,02kkvpp62,219508,232598,261079,19088203,1025,264893,3.94880895686007,2025,5157,4164,0.8074,986,0.1912,2020,2025,30714,22223,0.7235
2026-08-31,tu-munich,Technical University of Munich,I62916508,02kkvpp62,219682,232878,261402,19127809,1027,265215,3.97695701186767,2025,5151,4159,0.8074,987,0.1916,2020,2025,30716,22216,0.7233
2026-09-07,tu-munich,Technical University of Munich,I62916508,02kkvpp62,220119,233424,261938,19166796,1028,265688,4.01976521639428,2025,5151,4159,0.8074,987,0.1916,2020,2025,30720,22223,0.7234
