snapshot_date,slug,year,works_count,cited_by_count
2026-07-18,uk-aachen,2026,643,163
2026-07-18,uk-aachen,2025,1302,3634
2026-07-18,uk-aachen,2024,1257,8273
2026-07-18,uk-aachen,2023,1292,12285
2026-07-18,uk-aachen,2022,1347,15110
2026-07-18,uk-aachen,2021,1181,18077
2026-07-18,uk-aachen,2020,1024,24150
2026-07-18,uk-aachen,2019,981,22827
2026-07-18,uk-aachen,2018,1000,25640
2026-07-18,uk-aachen,2017,821,25935
2026-07-18,uk-aachen,2016,858,28994
2026-07-18,uk-aachen,2015,911,21868
2026-07-18,uk-aachen,2014,710,18544
2026-07-18,uk-aachen,2013,724,17466
2026-07-18,uk-aachen,2012,605,15407
2026-07-18,uk-aachen,2011,758,18629
2026-07-18,uk-aachen,2010,643,14818
