snapshot_date,slug,year,works_count,cited_by_count
2026-07-18,uk-dresden,2026,1219,539
2026-07-18,uk-dresden,2025,2247,7557
2026-07-18,uk-dresden,2024,2119,16204
2026-07-18,uk-dresden,2023,1789,24568
2026-07-18,uk-dresden,2022,1770,30844
2026-07-18,uk-dresden,2021,1605,46126
2026-07-18,uk-dresden,2020,1486,52406
2026-07-18,uk-dresden,2019,1299,50996
2026-07-18,uk-dresden,2018,1204,52630
2026-07-18,uk-dresden,2017,1129,55311
2026-07-18,uk-dresden,2016,1016,37643
2026-07-18,uk-dresden,2015,896,44274
2026-07-18,uk-dresden,2014,855,34238
2026-07-18,uk-dresden,2013,839,39465
2026-07-18,uk-dresden,2012,685,30234
2026-07-18,uk-dresden,2011,519,28833
2026-07-18,uk-dresden,2010,551,26813
