snapshot_date,slug,year,ca_works,ca_oa_works,ca_oa_share,ca_doaj_works,ca_doaj_share
2026-07-23,uni-stuttgart,2026,1510,1226,0.8119,142,0.094
2026-07-23,uni-stuttgart,2025,1812,1141,0.6297,279,0.154
2026-07-23,uni-stuttgart,2024,1980,1259,0.6359,313,0.1581
2026-07-23,uni-stuttgart,2023,2026,1160,0.5726,287,0.1417
2026-07-23,uni-stuttgart,2022,2043,1137,0.5565,280,0.1371
2026-07-23,uni-stuttgart,2021,2289,1251,0.5465,312,0.1363
2026-07-23,uni-stuttgart,2020,1914,1041,0.5439,236,0.1233
2026-07-23,uni-stuttgart,2019,1848,710,0.3842,179,0.0969
2026-07-23,uni-stuttgart,2018,1876,604,0.322,163,0.0869
2026-07-23,uni-stuttgart,2017,1851,518,0.2798,144,0.0778
2026-07-23,uni-stuttgart,2016,1807,583,0.3226,128,0.0708
2026-07-23,uni-stuttgart,2015,1452,436,0.3003,105,0.0723
2026-07-23,uni-stuttgart,2014,1524,377,0.2474,93,0.061
2026-07-23,uni-stuttgart,2013,1342,294,0.2191,75,0.0559
