snapshot_date,slug,year,works_count,works_count_incl_xpac,works_count_lineage_incl_xpac,cited_by_count
2026-08-10,uni-stuttgart,2026,3235,3233,3381,600
2026-08-10,uni-stuttgart,2025,3578,4552,4662,8189
2026-08-10,uni-stuttgart,2024,3710,7788,7865,20611
2026-08-10,uni-stuttgart,2023,3824,6889,7038,30408
2026-08-10,uni-stuttgart,2022,3723,9512,9581,39488
2026-08-10,uni-stuttgart,2021,4095,49327,49397,61025
2026-08-10,uni-stuttgart,2020,3619,7257,7369,104764
2026-08-10,uni-stuttgart,2019,3394,3692,3771,77601
2026-08-10,uni-stuttgart,2018,3341,3396,3467,76243
2026-08-10,uni-stuttgart,2017,3301,3378,3449,70889
2026-08-10,uni-stuttgart,2016,3183,3246,3304,81262
2026-08-10,uni-stuttgart,2015,2768,2802,2867,69653
2026-08-10,uni-stuttgart,2014,2900,2920,2958,78059
2026-08-10,uni-stuttgart,2013,2686,2703,2754,73846
2026-08-10,uni-stuttgart,2012,2579,2595,2616,74027
2026-08-10,uni-stuttgart,2011,2645,2668,2668,86275
2026-08-10,uni-stuttgart,2010,2526,2560,2562,86976
